PLAYER_WON,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
0,-49.0,15,17,0,-86.0,11,2,15,-91
0,-11.0,14,20,0,-11.0,8,2,14,-57
0,37.0,13,15,0,26.0,5,2,23,-12
0,-11.0,14,28,0,-78.0,13,5,36,-57
1,56.0,16,16,1,24.0,5,3,28,-8
0,-13.0,21,21,1,-25.0,13,4,29,-72
0,36.0,15,17,0,-66.0,3,1,6,-18
1,44.0,17,25,0,30.0,4,2,23,-7
0,-13.0,13,23,0,-50.0,9,2,17,-54
0,20.0,14,29,0,-3.0,5,1,5,-34
1,39.0,15,15,1,8.0,5,2,21,-23
1,34.0,28,28,1,-25.0,8,4,33,-28
0,13.0,29,29,1,-71.0,5,1,6,-40
0,-40.0,12,23,0,-31.0,6,0,0,-82
1,36.0,14,14,1,-91.0,6,3,19,-24
0,11.0,14,23,0,-27.0,3,0,0,-33
0,21.0,12,16,0,-22.0,2,0,0,-23
0,-45.0,14,23,0,-27.0,8,1,9,-87
1,64.0,15,16,0,20.0,6,4,37,9
0,-33.0,20,20,1,-50.0,8,1,8,-85
0,0.0,18,18,1,-77.0,5,1,5,-51
0,13.0,18,18,1,-97.0,7,2,17,-41
0,-83.0,10,13,0,-51.0,11,1,4,-125
0,7.0,12,18,0,28.0,9,4,36,-36
0,4.0,11,25,0,-14.0,3,0,0,-34
0,-48.0,11,12,0,-58.0,8,2,16,-88
1,20.0,18,18,1,-67.0,6,2,15,-36
0,4.0,13,18,0,-81.0,6,2,15,-36
0,4.0,15,18,0,-14.0,8,3,22,-44
0,4.0,17,17,1,-40.0,7,1,9,-54
0,-16.0,15,22,0,-59.0,4,0,0,-63
0,-40.0,13,18,0,-65.0,6,0,0,-84
1,39.0,13,13,1,-47.0,5,2,18,-21
0,2.0,14,20,0,-12.0,3,1,5,-37
0,-10.0,16,23,0,-4.0,6,2,11,-48
0,5.0,13,17,0,-88.0,5,1,6,-46
0,3.0,16,20,0,40.0,2,0,0,-42
0,-2.0,20,20,1,-55.0,7,2,15,-56
0,-35.0,13,19,0,-59.0,5,0,0,-77
1,16.0,13,15,0,-27.0,2,0,0,-32
0,16.0,20,20,1,-7.0,7,3,19,-33
0,-33.0,11,25,0,48.0,7,1,9,-73
1,30.0,13,15,0,-31.0,3,1,6,-17
0,-12.0,18,20,0,-25.0,6,1,9,-54
0,15.0,19,19,1,-15.0,3,0,0,-43
0,24.0,15,15,1,51.0,2,0,0,-33
0,-22.0,13,25,0,17.0,7,1,10,-68
0,-46.0,19,19,1,22.0,7,0,0,-95
0,-13.0,9,18,0,-75.0,5,1,5,-57
0,-35.0,10,26,0,-34.0,8,1,8,-82
0,-39.0,13,21,0,1.0,9,2,18,-81
0,-6.0,11,14,0,-96.0,4,0,0,-47
1,31.0,17,17,1,-7.0,5,2,15,-24
1,29.0,13,16,0,-11.0,5,2,15,-17
1,31.0,23,23,1,-34.0,4,2,14,-26
1,30.0,26,26,1,-30.0,3,0,0,-28
0,-12.0,8,18,0,14.0,5,1,5,-56
0,-60.0,13,16,0,-55.0,9,1,6,-108
0,-59.0,14,15,0,-43.0,8,1,7,-103
0,3.0,17,23,0,-60.0,4,1,5,-40
0,20.0,24,24,1,-28.0,7,2,16,-37
0,-7.0,22,22,1,-9.0,6,1,9,-61
0,-10.0,10,15,0,-49.0,7,2,16,-54
0,-39.0,15,22,0,-52.0,7,1,9,-82
1,7.0,14,17,0,-62.0,4,1,6,-43
1,13.0,18,23,0,-60.0,8,3,21,-36
0,29.0,18,18,1,50.0,4,1,6,-30
0,-14.0,17,17,1,-34.0,6,1,8,-72
0,14.0,28,28,1,-5.0,13,5,50,-36
1,28.0,21,21,1,-87.0,3,1,7,-28
0,-23.0,10,23,0,-61.0,7,2,14,-57
0,-14.0,18,22,0,-4.0,6,1,5,-60
0,14.0,9,24,0,-40.0,4,1,5,-33
1,38.0,18,18,1,-41.0,3,1,9,-22
1,36.0,12,25,0,11.0,3,1,6,-11
0,6.0,13,19,0,17.0,7,3,26,-38
0,5.0,11,20,0,-81.0,7,3,19,-32
1,32.0,10,17,0,43.0,2,0,0,-17
0,29.0,16,16,1,-23.0,5,2,13,-24
0,22.0,20,28,0,-84.0,2,0,0,-28
0,-46.0,12,21,0,-22.0,8,1,9,-96
0,9.0,19,19,1,-43.0,6,2,14,-44
0,-8.0,10,19,0,-40.0,6,0,0,-55
0,9.0,13,24,0,-28.0,11,4,30,-37
1,30.0,13,25,0,-84.0,2,0,0,-25
