PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
0,45,27.0,13,31,0,146.0,221,2,0,0,-23
0,48,31.0,17,26,0,132.0,224,2,0,0,-23
0,42,14.0,17,19,0,105.0,197,2,0,0,-24
0,45,32.0,23,23,1,80.0,199,2,0,0,-25
0,43,27.0,13,19,0,138.0,213,2,0,0,-23
1,48,86.0,17,17,1,169.0,232,2,2,23,23
1,43,34.0,14,21,0,77.0,202,2,0,0,-23
0,43,48.0,20,32,0,140.0,204,2,1,11,-2
0,43,26.0,12,17,0,159.0,214,2,0,0,-23
0,44,24.0,12,29,0,98.0,201,2,0,0,-23
0,43,-4.0,14,14,1,127.0,230,4,0,0,-52
0,43,44.0,16,16,1,139.0,209,2,0,0,-24
0,44,28.0,25,25,1,127.0,202,2,0,0,-23
1,43,74.0,15,18,0,127.0,224,2,2,23,23
1,46,87.0,22,22,1,184.0,253,2,2,23,23
1,43,88.0,17,17,1,162.0,214,2,2,23,23
0,42,31.0,15,19,0,115.0,207,2,0,0,-24
0,45,30.0,14,16,0,120.0,212,2,0,0,-24
0,48,53.0,12,21,0,140.0,225,2,1,12,1
1,42,55.0,13,18,0,122.0,192,2,1,11,-2
0,47,28.0,9,29,0,130.0,211,2,0,0,-24
0,48,51.0,14,28,0,134.0,229,2,1,12,-1
0,42,18.0,15,23,0,139.0,214,2,0,0,-25
0,46,41.0,18,18,1,147.0,219,2,0,0,-23
0,44,26.0,17,20,0,110.0,218,2,0,0,-24
0,48,33.0,19,22,0,101.0,232,2,0,0,-23
0,45,40.0,20,20,1,139.0,213,2,0,0,-22
0,47,41.0,20,20,1,98.0,203,2,0,0,-23
0,43,10.0,11,20,0,89.0,191,2,0,0,-33
0,46,-26.0,12,30,0,96.0,198,5,0,0,-73
0,45,25.0,15,16,0,138.0,207,2,0,0,-23
0,44,17.0,9,32,0,155.0,224,2,0,0,-23
0,44,15.0,12,23,0,164.0,216,2,0,0,-23
0,45,-22.0,12,15,0,100.0,214,4,0,0,-62
1,44,44.0,19,19,1,120.0,212,2,0,0,-22
0,44,21.0,14,20,0,120.0,217,2,0,0,-22
0,46,30.0,10,15,0,131.0,206,2,0,0,-23
1,43,37.0,27,27,1,54.0,196,2,0,0,-23
0,45,6.0,14,26,0,149.0,229,3,0,0,-34
0,46,-2.0,19,29,0,115.0,212,3,0,0,-45
1,45,36.0,14,26,0,73.0,204,2,0,0,-22
1,44,47.0,23,23,1,113.0,205,2,0,0,-23
0,45,32.0,22,22,1,143.0,218,2,0,0,-23
0,44,36.0,20,20,1,144.0,219,2,0,0,-23
0,46,-20.0,10,17,0,110.0,201,4,0,0,-62
0,45,2.0,14,27,0,91.0,194,3,0,0,-41
0,41,35.0,20,20,1,109.0,201,2,0,0,-22
1,44,29.0,19,19,1,100.0,192,2,0,0,-23
0,44,24.0,13,17,0,116.0,208,2,0,0,-23
0,44,27.0,13,20,0,109.0,201,2,0,0,-23
0,44,14.0,9,25,0,151.0,203,2,0,0,-29
0,44,-7.0,13,15,0,118.0,215,3,0,0,-51
0,44,30.0,16,16,1,128.0,203,2,0,0,-29
1,42,40.0,17,17,1,100.0,194,2,0,0,-31
0,42,13.0,13,18,0,131.0,206,2,0,0,-29
0,45,20.0,12,27,0,157.0,209,2,0,0,-29
0,42,23.0,25,25,1,97.0,189,2,0,0,-29
0,48,24.0,14,30,0,154.0,207,2,0,0,-29
0,46,28.0,14,27,0,126.0,218,2,0,0,-29
0,44,13.0,13,18,0,124.0,199,2,0,0,-29
0,43,7.0,9,20,0,105.0,197,2,0,0,-29
0,44,17.0,13,14,0,135.0,227,2,0,0,-29
0,41,28.0,8,15,0,166.0,221,2,0,0,-29
0,44,13.0,16,22,0,133.0,210,2,0,0,-31
0,45,31.0,16,16,1,112.0,220,2,0,0,-31
0,44,33.0,17,17,1,117.0,209,2,0,0,-29
0,45,23.0,20,20,1,130.0,205,2,0,0,-29
0,44,23.0,15,21,0,147.0,222,2,0,0,-29
0,42,11.0,16,17,0,100.0,192,2,0,0,-29
0,43,8.0,11,19,0,112.0,204,2,0,0,-29
0,44,-15.0,12,23,0,74.0,188,3,0,0,-51
0,45,-4.0,11,23,0,106.0,211,3,0,0,-42
0,45,-5.0,16,24,0,99.0,208,3,0,0,-46
0,49,29.0,29,29,1,124.0,226,2,0,0,-31
0,44,-19.0,17,19,0,67.0,209,4,0,0,-57
1,41,48.0,13,22,0,101.0,210,2,0,0,-17
0,43,17.0,11,24,0,91.0,183,2,0,0,-17
1,44,79.0,27,27,1,145.0,220,2,2,17,17
0,44,58.0,11,33,0,192.0,244,2,2,17,17
1,43,37.0,12,17,0,123.0,215,2,0,0,-17
1,45,44.0,23,23,1,118.0,210,2,0,0,-17
0,47,28.0,15,21,0,143.0,213,2,0,0,-17
1,44,44.0,26,26,1,127.0,219,2,0,0,-17
1,48,65.0,15,17,0,154.0,229,2,2,17,17
1,45,44.0,20,20,1,121.0,213,2,0,0,-17
1,43,60.0,22,22,1,104.0,195,2,1,9,1
0,44,30.0,12,17,0,162.0,231,2,0,0,-17
1,48,54.0,11,18,0,44.0,205,2,1,9,1
0,47,29.0,23,33,0,86.0,211,2,0,0,-17
0,44,32.0,14,20,0,68.0,204,3,1,6,-11
1,44,35.0,25,25,1,113.0,205,2,0,0,-17
0,44,29.0,13,18,0,101.0,193,2,0,0,-17
1,45,78.0,24,24,1,99.0,225,2,2,17,17
0,46,32.0,26,29,0,87.0,212,2,0,0,-17
1,43,38.0,9,22,0,107.0,199,2,0,0,-17
1,48,55.0,13,15,0,125.0,217,2,1,9,1
1,46,45.0,25,25,1,101.0,204,2,0,0,-17
1,44,34.0,16,25,0,117.0,209,2,0,0,-17
0,45,32.0,16,19,0,142.0,212,2,0,0,-17
0,41,32.0,12,21,0,110.0,202,2,0,0,-17
