PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
1,37,57,17,17,1,114,203,2,0,0,-22,43
0,45,58,15,20,0,172,259,2,0,0,-20,42
1,37,47,19,19,1,104,209,2,0,0,-35,43
0,40,44,16,30,0,156,219,2,0,0,-17,43
0,45,38,13,24,0,206,248,2,0,0,-26,43
0,41,28,11,20,0,124,216,2,0,0,-31,40
0,43,19,14,23,0,157,219,2,0,0,-39,38
0,44,71,20,20,1,228,248,2,1,11,3,44
0,41,61,13,18,0,218,245,2,1,8,-9,44
0,40,33,12,19,0,174,225,2,0,0,-22,38
0,41,20,13,19,0,165,230,2,0,0,-25,38
0,41,24,8,21,0,171,237,3,0,0,-38,39
1,40,64,30,30,1,141,203,2,1,11,-2,43
0,45,55,27,27,1,189,238,2,0,0,-22,44
1,43,85,25,25,1,187,241,2,2,21,21,44
0,44,43,12,23,0,217,244,2,1,4,-18,40
0,44,33,16,18,0,144,225,2,0,0,-28,42
1,40,55,23,23,1,149,219,2,0,0,-33,43
0,41,36,13,25,0,185,223,2,0,0,-16,38
0,40,62,20,26,0,202,226,2,1,8,0,43
