PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
0,38,7.0,18,20,0,128.0,214,2,0,0,-36,34
1,33,50.0,18,18,1,110.0,204,3,0,0,-44,43
1,44,82.0,22,22,1,169.0,229,2,2,18,18,43
0,41,8.0,11,25,0,122.0,202,3,0,0,-36,36
0,38,43.0,10,23,0,141.0,230,2,0,0,-22,41
0,36,7.0,7,18,0,104.0,197,2,0,0,-28,32
0,42,13.0,8,21,0,153.0,218,2,0,0,-30,37
0,37,14.0,11,14,0,149.0,210,2,0,0,-26,33
0,41,23.0,15,20,0,150.0,208,2,0,0,-22,37
0,37,14.0,13,16,0,110.0,202,2,0,0,-26,33
0,42,12.0,11,21,0,105.0,209,2,0,0,-30,39
0,45,35.0,14,24,0,148.0,235,2,0,0,-31,42
0,37,36.0,8,16,0,163.0,225,2,1,5,-12,37
0,35,15.0,14,15,0,130.0,208,2,0,0,-20,32
1,39,50.0,15,21,0,128.0,207,2,1,4,-13,43
0,33,18.0,14,15,0,113.0,211,2,0,0,-16,29
1,42,46.0,12,21,0,131.0,217,2,1,4,-8,41
0,41,57.0,14,23,0,162.0,234,2,0,0,-25,44
0,40,37.0,23,23,1,119.0,206,2,0,0,-28,36
0,40,13.0,15,18,0,149.0,200,2,0,0,-27,33
1,42,60.0,19,25,0,178.0,234,2,1,11,4,41
0,42,46.0,9,24,0,170.0,250,2,0,0,-24,38
0,35,31.0,7,11,0,148.0,215,2,1,5,-8,34
1,42,60.0,18,23,0,174.0,231,2,1,8,4,44
0,45,48.0,19,24,0,199.0,224,2,0,0,-19,44
0,37,32.0,9,25,0,132.0,205,2,1,5,-4,32
0,38,21.0,7,14,0,87.0,199,2,0,0,-21,35
0,38,51.0,20,23,0,147.0,223,2,1,5,-3,41
1,40,71.0,11,12,0,149.0,225,2,2,14,14,43
1,40,67.0,24,24,1,137.0,197,2,1,9,-3,44
0,35,24.0,9,16,0,165.0,246,2,0,0,-15,32
0,39,55.0,27,27,1,176.0,211,2,1,9,2,36
0,35,21.0,13,16,0,122.0,195,2,1,5,-16,33
0,33,33.0,16,22,0,123.0,212,2,1,4,-3,32
1,47,68.0,13,18,0,190.0,233,2,2,16,16,41
1,38,55.0,19,19,1,143.0,210,2,1,6,-6,40
0,35,6.0,10,12,0,66.0,185,2,0,0,-27,30
0,39,23.0,8,18,0,134.0,212,2,0,0,-23,36
0,41,21.0,15,20,0,153.0,237,2,0,0,-31,38
1,40,48.0,20,26,0,113.0,206,2,1,6,-3,43
0,33,19.0,11,11,1,83.0,214,2,0,0,-29,34
0,36,20.0,10,18,0,144.0,221,2,0,0,-23,35
0,38,25.0,12,20,0,141.0,199,2,0,0,-14,33
0,39,44.0,15,15,1,127.0,233,2,0,0,-17,39
0,41,25.0,15,29,0,160.0,236,2,0,0,-24,39
1,43,67.0,19,19,1,154.0,222,2,1,9,1,44
0,37,26.0,25,25,1,133.0,207,2,0,0,-25,36
0,39,16.0,9,23,0,179.0,220,2,0,0,-27,36
0,36,20.0,14,14,1,146.0,214,2,0,0,-22,31
1,45,72.0,15,20,0,215.0,256,2,2,20,20,42
1,46,83.0,21,21,1,214.0,255,2,2,22,22,41
0,34,11.0,10,18,0,114.0,193,2,0,0,-24,30
0,41,6.0,7,12,0,122.0,205,2,0,0,-31,32
1,39,74.0,19,19,1,152.0,200,2,1,8,0,43
0,39,34.0,8,17,0,128.0,203,2,0,0,-21,35
1,41,79.0,18,27,0,211.0,240,2,2,16,16,44
0,38,25.0,10,20,0,150.0,216,2,0,0,-20,38
1,39,52.0,13,18,0,146.0,226,2,1,9,5,38
0,41,45.0,12,23,0,156.0,205,2,1,8,-3,39
1,39,66.0,19,23,0,168.0,215,2,1,10,2,44
1,34,56.0,13,13,1,122.0,212,2,0,0,-37,43
0,43,45.0,15,28,0,168.0,238,2,0,0,-23,45
0,37,41.0,10,23,0,154.0,218,2,1,6,-7,37
1,40,70.0,18,18,1,161.0,205,2,1,8,-2,44
1,39,42.0,11,16,0,125.0,211,2,1,5,-6,39
0,40,48.0,22,22,1,143.0,241,3,0,0,-46,43
1,35,66.0,23,23,1,171.0,230,2,1,8,-3,41
1,42,85.0,21,21,1,173.0,255,2,2,16,16,43
0,44,24.0,12,24,0,165.0,222,2,0,0,-25,37
0,38,49.0,11,21,0,171.0,226,2,1,8,1,39
0,33,31.0,7,10,0,141.0,195,2,1,5,-4,29
0,40,52.0,17,20,0,142.0,230,2,0,0,-28,45
0,37,33.0,12,19,0,143.0,206,2,1,8,-9,33
0,37,29.0,12,17,0,144.0,231,3,0,0,-31,38
0,34,55.0,12,19,0,144.0,245,3,0,0,-26,43
1,41,81.0,20,22,0,209.0,248,2,2,21,21,43
0,37,12.0,13,17,0,97.0,195,2,0,0,-21,30
0,39,29.0,9,20,0,161.0,243,2,0,0,-18,39
1,40,79.0,17,17,1,203.0,238,2,2,15,15,41
0,45,65.0,22,26,0,187.0,257,2,2,15,15,40
0,37,28.0,14,23,0,162.0,214,2,1,6,-4,28
0,37,31.0,8,26,0,139.0,207,2,1,5,-6,32
0,40,57.0,19,19,1,163.0,218,2,1,5,-6,43
0,40,23.0,11,17,0,133.0,217,2,0,0,-22,37
0,40,46.0,11,20,0,203.0,235,2,1,5,-6,38
0,39,21.0,10,13,0,152.0,207,2,0,0,-29,37
0,37,9.0,13,14,0,97.0,199,2,0,0,-26,31
0,32,52.0,12,17,0,136.0,215,2,2,17,17,31
0,35,27.0,8,11,0,146.0,217,2,0,0,-16,33
0,43,49.0,21,21,1,195.0,234,2,1,9,-3,38
0,41,28.0,12,22,0,151.0,207,2,1,4,-9,32
0,38,15.0,10,17,0,139.0,219,2,0,0,-21,31
