PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
0,36,16.0,9,25,0,191.0,238,2,0,0,-39,37
1,36,64.0,12,19,0,213.0,258,2,1,6,-3,40
0,32,10.0,10,14,0,141.0,225,2,0,0,-21,30
0,31,18.0,9,24,0,118.0,216,2,0,0,-12,29
0,37,43.0,16,19,0,189.0,262,2,1,6,-3,36
0,37,4.0,9,27,0,150.0,244,2,0,0,-41,38
0,36,11.0,13,29,0,193.0,275,2,0,0,-26,33
0,47,33.0,11,21,0,199.0,269,3,1,4,-19,45
0,33,15.0,9,16,0,157.0,238,2,0,0,-37,37
0,35,53.0,19,30,0,211.0,282,2,2,12,12,34
0,37,41.0,12,25,0,242.0,280,2,1,4,-8,38
0,35,22.0,7,18,0,172.0,244,2,0,0,-23,34
0,33,12.0,6,25,0,146.0,246,2,0,0,-21,29
0,32,11.0,14,16,0,136.0,228,2,0,0,-23,31
1,37,77.0,20,20,1,192.0,256,2,2,14,14,39
0,36,19.0,8,22,0,214.0,262,3,1,6,-15,32
0,38,47.0,19,19,1,200.0,258,2,0,0,-17,40
0,34,30.0,15,26,0,171.0,263,2,0,0,-15,35
0,35,17.0,10,20,0,171.0,227,2,0,0,-17,32
0,39,51.0,22,22,1,182.0,267,2,0,0,-18,42
0,33,6.0,10,18,0,126.0,200,2,0,0,-24,29
1,44,79.0,26,26,1,226.0,266,2,2,23,23,40
0,35,46.0,14,24,0,220.0,298,2,1,5,-1,36
0,39,47.0,6,21,0,219.0,264,2,2,10,10,33
0,35,39.0,11,17,0,184.0,246,2,1,4,-3,36
1,35,48.0,11,14,0,140.0,222,2,0,0,-24,43
1,37,52.0,14,21,0,179.0,235,2,0,0,-22,43
1,36,85.0,17,17,1,197.0,269,2,1,13,4,43
1,37,80.0,21,21,1,170.0,239,2,1,11,6,43
0,37,54.0,7,17,0,192.0,248,2,0,0,-21,41
0,33,38.0,9,10,0,131.0,229,2,0,0,-20,34
1,34,67.0,14,14,1,162.0,229,2,0,0,-26,43
1,39,83.0,15,26,0,195.0,249,2,2,20,20,43
1,35,65.0,19,21,0,118.0,221,2,0,0,-24,43
0,35,43.0,9,16,0,168.0,245,2,0,0,-21,38
1,36,62.0,17,17,1,155.0,279,2,0,0,-28,44
0,39,63.0,13,20,0,166.0,244,2,0,0,-24,45
0,36,45.0,9,19,0,196.0,258,2,0,0,-30,39
1,34,59.0,10,14,0,165.0,241,2,0,0,-28,43
0,34,52.0,13,18,0,161.0,250,2,0,0,-19,41
1,36,65.0,22,22,1,127.0,214,2,0,0,-15,43
0,37,54.0,14,23,0,165.0,229,2,0,0,-20,42
1,34,72.0,23,23,1,138.0,239,2,0,0,-19,43
0,41,39.0,13,26,0,212.0,251,2,0,0,-15,39
1,35,51.0,13,23,0,149.0,246,2,0,0,-16,43
1,34,67.0,18,18,1,145.0,214,2,0,0,-25,43
1,35,63.0,16,16,1,149.0,207,2,0,0,-17,43
1,36,52.0,12,18,0,153.0,255,2,0,0,-22,43
1,35,63.0,13,13,1,164.0,253,2,0,0,-29,43
1,36,59.0,24,24,1,190.0,257,2,0,0,-27,44
1,35,50.0,21,21,1,157.0,255,3,0,0,-35,43
0,36,30.0,12,17,0,191.0,248,2,0,0,-25,36
0,33,7.0,7,13,0,154.0,241,2,0,0,-24,28
1,40,57.0,25,25,1,208.0,254,2,1,8,-4,40
0,36,58.0,17,19,0,201.0,270,2,1,8,-4,40
0,36,27.0,8,10,0,142.0,229,2,1,9,-13,36
0,34,1.0,10,13,0,134.0,225,2,0,0,-24,25
1,40,66.0,23,23,1,226.0,292,2,1,9,-13,42
0,36,20.0,11,24,0,165.0,249,2,0,0,-16,32
0,36,32.0,16,17,0,152.0,244,2,1,6,-3,33
0,36,31.0,11,17,0,197.0,251,2,0,0,-14,32
0,34,35.0,9,22,0,181.0,248,2,1,7,-2,33
0,36,17.0,10,14,0,153.0,217,2,0,0,-19,31
1,40,63.0,11,16,0,187.0,240,2,2,13,13,41
0,35,18.0,15,26,0,159.0,260,2,0,0,-27,33
0,37,2.0,10,18,0,177.0,245,2,0,0,-37,35
0,36,24.0,8,16,0,149.0,228,2,0,0,-17,32
0,36,41.0,6,12,0,186.0,253,2,1,6,-4,36
0,33,37.0,6,21,0,151.0,235,2,0,0,-29,36
0,34,15.0,16,24,0,155.0,253,2,0,0,-25,33
0,35,-2.0,13,14,0,110.0,205,2,0,0,-39,33
0,36,3.0,9,20,0,155.0,250,2,0,0,-39,31
0,36,8.0,15,19,0,130.0,242,2,0,0,-33,34
0,38,13.0,7,14,0,145.0,249,2,0,0,-33,38
0,34,35.0,9,26,0,165.0,259,2,0,0,-27,38
0,41,47.0,19,23,0,152.0,242,2,0,0,-27,42
1,37,91.0,18,18,1,200.0,249,2,2,17,17,43
1,37,51.0,12,24,0,158.0,244,2,0,0,-22,44
1,33,63.0,16,16,1,154.0,223,2,0,0,-23,43
1,38,59.0,10,20,0,199.0,265,2,0,0,-18,42
0,35,40.0,9,15,0,171.0,262,2,0,0,-12,34
1,36,55.0,16,16,1,147.0,239,2,0,0,-23,43
0,33,55.0,16,18,0,168.0,223,2,0,0,-29,43
0,37,52.0,13,28,0,214.0,256,2,0,0,-18,42
1,35,69.0,24,24,1,214.0,263,2,0,0,-29,43
1,35,69.0,24,24,1,143.0,230,2,0,0,-20,44
0,39,44.0,10,25,0,242.0,271,2,0,0,-13,40
0,39,46.0,14,19,0,177.0,255,2,0,0,-23,40
0,38,59.0,10,25,0,209.0,237,2,2,13,13,37
1,36,61.0,22,22,1,183.0,255,2,0,0,-19,43
1,38,51.0,19,28,0,181.0,251,2,0,0,-28,44
1,35,65.0,15,18,0,182.0,256,2,0,0,-25,44
0,35,39.0,15,16,0,166.0,248,2,0,0,-16,39
1,34,70.0,21,21,1,193.0,253,2,0,0,-24,43
1,36,65.0,13,13,1,146.0,247,2,0,0,-31,43
0,33,37.0,13,15,0,123.0,225,2,0,0,-28,35
1,33,84.0,24,24,1,158.0,238,2,1,13,-7,43
1,34,60.0,10,11,0,154.0,235,2,0,0,-21,44
0,47,37.0,19,25,0,203.0,270,2,0,0,-41,42
0,37,37.0,7,25,0,135.0,226,2,0,0,-21,37
