PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
0,38,50.0,14,20,0,128.0,214,2,1,6,-6,40
0,33,17.0,7,18,0,110.0,204,2,0,0,-17,30
0,44,29.0,13,22,0,169.0,229,2,0,0,-21,38
1,41,62.0,25,25,1,122.0,202,2,1,9,-3,43
0,38,43.0,11,23,0,141.0,230,2,1,9,0,36
0,36,32.0,18,18,1,104.0,197,2,0,0,-18,36
0,42,52.0,21,21,1,153.0,218,2,1,6,-3,38
0,37,27.0,7,14,0,149.0,210,2,0,0,-16,35
0,41,25.0,16,20,0,150.0,208,2,0,0,-16,35
1,37,45.0,16,16,1,110.0,202,2,1,4,-6,35
1,42,47.0,21,21,1,105.0,209,2,0,0,-20,43
1,45,60.0,24,24,1,148.0,235,2,1,6,-4,42
0,37,19.0,9,16,0,163.0,225,2,0,0,-29,39
0,35,32.0,12,15,0,130.0,208,2,1,6,-5,32
0,39,21.0,11,21,0,128.0,207,2,0,0,-20,35
0,33,22.0,7,15,0,113.0,211,2,0,0,-16,33
0,42,44.0,21,21,1,131.0,217,2,0,0,-18,43
0,41,23.0,10,23,0,162.0,234,2,0,0,-25,38
0,40,17.0,10,23,0,119.0,206,2,0,0,-24,34
0,40,42.0,12,18,0,149.0,200,2,1,6,-1,34
1,42,60.0,25,25,1,178.0,234,2,1,4,-3,43
1,42,58.0,21,24,0,170.0,250,2,2,16,16,38
0,35,30.0,11,11,1,148.0,215,2,0,0,-19,33
1,42,60.0,23,23,1,174.0,231,2,1,7,-5,43
0,45,39.0,11,24,0,199.0,224,2,1,5,-6,38
1,37,51.0,25,25,1,132.0,205,2,0,0,-30,43
0,38,-9.0,10,14,0,87.0,199,3,0,0,-40,30
0,38,28.0,8,23,0,147.0,223,2,0,0,-32,39
0,40,25.0,12,12,1,149.0,225,2,0,0,-27,35
0,40,31.0,11,24,0,137.0,197,2,1,5,-5,33
1,35,70.0,16,16,1,165.0,246,2,1,11,-1,39
0,39,23.0,13,27,0,176.0,211,2,1,8,-14,31
0,35,23.0,16,16,1,122.0,195,2,0,0,-24,32
0,33,28.0,12,22,0,123.0,212,2,0,0,-19,34
0,47,51.0,18,18,1,190.0,233,2,1,5,-7,39
0,38,48.0,17,19,0,143.0,210,2,0,0,-16,44
0,35,2.0,8,12,0,66.0,185,2,0,0,-28,29
1,39,42.0,18,18,1,134.0,212,2,1,4,-16,40
0,41,44.0,20,20,1,153.0,237,2,0,0,-33,44
0,40,25.0,9,26,0,113.0,206,2,0,0,-23,36
1,33,40.0,9,11,0,83.0,214,3,0,0,-49,43
1,36,59.0,18,18,1,144.0,221,2,0,0,-25,43
0,38,8.0,10,20,0,141.0,199,2,0,0,-35,34
0,39,16.0,13,15,0,127.0,233,3,0,0,-42,38
1,41,68.0,29,29,1,160.0,236,2,1,13,-9,44
0,43,45.0,18,19,0,154.0,222,2,1,9,-3,39
1,37,52.0,17,25,0,133.0,207,2,0,0,-18,43
0,39,31.0,13,23,0,179.0,220,2,1,8,-1,30
1,36,65.0,11,14,0,146.0,214,2,1,4,-8,44
0,45,68.0,20,20,1,215.0,256,2,1,9,-7,45
0,46,52.0,16,21,0,214.0,255,2,1,9,-4,45
0,34,45.0,16,18,0,114.0,193,2,1,9,4,34
0,41,29.0,11,12,0,122.0,205,2,0,0,-21,39
0,39,11.0,8,19,0,152.0,200,2,0,0,-21,29
0,39,31.0,17,17,1,128.0,203,2,0,0,-19,35
0,41,65.0,27,27,1,211.0,240,2,2,13,13,35
0,38,40.0,13,20,0,150.0,216,2,1,7,-5,35
0,39,35.0,17,18,0,146.0,226,2,1,9,-11,37
0,41,34.0,8,23,0,156.0,205,2,0,0,-17,37
0,39,28.0,8,23,0,168.0,215,2,0,0,-15,37
0,34,20.0,10,13,0,122.0,212,2,0,0,-19,31
0,43,52.0,28,28,1,168.0,238,2,1,8,-12,42
0,37,55.0,23,23,1,154.0,218,2,1,10,1,35
0,40,23.0,13,18,0,161.0,205,2,1,8,-9,30
0,39,18.0,9,16,0,125.0,211,2,0,0,-23,35
0,40,22.0,9,22,0,143.0,241,2,0,0,-22,36
0,35,34.0,10,23,0,171.0,230,2,1,5,-6,31
0,42,12.0,11,21,0,173.0,255,2,0,0,-32,37
1,44,65.0,24,24,1,165.0,222,2,1,11,4,41
0,38,39.0,15,21,0,171.0,226,2,1,4,-5,37
0,33,17.0,8,10,0,141.0,195,2,0,0,-16,29
0,40,31.0,19,20,0,142.0,230,2,0,0,-17,39
0,37,25.0,9,19,0,143.0,206,2,0,0,-18,36
0,37,38.0,17,17,1,144.0,231,2,0,0,-14,33
0,34,24.0,10,19,0,144.0,245,2,0,0,-20,35
0,41,54.0,22,22,1,209.0,248,2,1,11,-2,39
0,37,39.0,17,17,1,97.0,195,2,0,0,-17,34
1,39,57.0,20,20,1,161.0,243,2,0,0,-19,43
