PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
0,38,14.0,9,20,0,128.0,214,2,0,0,-20,31
0,33,16.0,7,18,0,110.0,204,3,1,4,-14,28
0,44,23.0,21,22,0,169.0,229,2,0,0,-20,37
0,41,30.0,14,25,0,122.0,202,2,0,0,-19,38
0,38,10.0,12,23,0,141.0,230,3,0,0,-36,36
0,36,19.0,8,18,0,104.0,197,2,0,0,-27,35
0,42,22.0,8,21,0,153.0,218,2,0,0,-32,38
0,37,34.0,14,14,1,149.0,210,2,0,0,-17,33
0,41,37.0,11,20,0,150.0,208,2,0,0,-15,40
0,37,6.0,14,16,0,110.0,202,3,0,0,-35,35
0,42,26.0,16,21,0,105.0,209,2,0,0,-29,39
0,45,0.0,9,24,0,148.0,235,3,0,0,-50,40
1,37,61.0,16,16,1,163.0,225,2,1,9,-2,39
0,35,27.0,15,15,1,130.0,208,2,0,0,-32,38
0,39,24.0,18,21,0,128.0,207,2,0,0,-23,36
0,33,18.0,15,15,1,113.0,211,3,0,0,-36,35
0,42,26.0,14,21,0,131.0,217,2,0,0,-27,37
0,41,23.0,11,23,0,162.0,234,3,0,0,-22,38
0,40,13.0,9,23,0,119.0,206,2,0,0,-33,37
0,40,26.0,9,18,0,149.0,200,2,0,0,-19,38
0,42,20.0,16,25,0,178.0,234,3,0,0,-31,40
0,42,8.0,14,24,0,170.0,250,3,0,0,-40,37
0,35,27.0,9,11,0,148.0,215,2,0,0,-17,32
0,42,22.0,12,23,0,174.0,231,3,0,0,-29,38
0,45,49.0,21,24,0,199.0,224,2,1,9,1,38
0,37,23.0,10,25,0,132.0,205,2,0,0,-17,32
1,38,56.0,14,14,1,87.0,199,2,0,0,-22,43
1,38,55.0,23,23,1,147.0,223,2,0,0,-17,43
0,40,37.0,10,12,0,149.0,225,2,0,0,-21,40
0,40,24.0,8,24,0,137.0,197,2,0,0,-18,36
0,35,60.0,16,16,1,165.0,246,2,0,0,-30,43
1,39,65.0,22,27,0,176.0,211,2,1,13,1,43
1,35,60.0,16,16,1,122.0,195,2,0,0,-15,43
1,33,63.0,22,22,1,123.0,212,2,0,0,-30,43
0,47,54.0,9,18,0,190.0,233,2,1,7,-6,43
0,38,26.0,15,19,0,143.0,210,2,1,4,-16,35
1,35,62.0,12,12,1,66.0,185,2,0,0,-26,43
1,39,42.0,11,18,0,134.0,212,2,0,0,-16,43
0,41,43.0,13,20,0,153.0,237,2,1,7,-4,40
0,40,43.0,26,26,1,113.0,206,2,0,0,-21,40
0,33,11.0,6,11,0,83.0,214,2,0,0,-26,31
0,36,52.0,18,18,1,144.0,221,2,1,8,-4,37
1,38,70.0,20,20,1,141.0,199,2,1,8,-3,43
1,39,47.0,8,15,0,127.0,233,2,0,0,-15,43
0,41,53.0,29,29,1,160.0,236,2,1,5,-12,41
0,43,31.0,8,19,0,154.0,222,2,0,0,-22,38
0,37,32.0,22,25,0,133.0,207,2,0,0,-15,36
1,39,74.0,17,23,0,179.0,220,2,2,17,17,43
0,36,33.0,8,14,0,146.0,214,2,0,0,-21,38
