PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
1,38,57.0,20,20,1,128.0,214,2,0,0,-24,44
0,33,27.0,17,18,0,110.0,204,2,0,0,-19,34
0,44,35.0,11,22,0,169.0,229,2,0,0,-19,39
0,41,22.0,8,25,0,122.0,202,2,0,0,-22,34
1,38,45.0,23,23,1,141.0,230,2,0,0,-31,44
1,36,46.0,9,18,0,104.0,197,2,0,0,-20,43
1,42,66.0,16,21,0,153.0,218,2,1,11,1,44
1,37,74.0,14,14,1,149.0,210,2,1,7,-2,43
1,41,65.0,20,20,1,150.0,208,2,1,6,-5,43
1,37,45.0,14,16,0,110.0,202,2,0,0,-25,43
0,42,20.0,11,21,0,105.0,209,2,0,0,-25,34
0,45,53.0,20,24,0,148.0,235,2,1,9,-2,45
0,37,47.0,15,16,0,163.0,225,2,0,0,-19,43
1,35,56.0,14,15,0,130.0,208,2,0,0,-21,43
0,39,33.0,21,21,1,128.0,207,2,0,0,-23,39
1,33,55.0,14,15,0,113.0,211,2,0,0,-30,44
0,42,15.0,16,21,0,131.0,217,2,0,0,-33,37
1,41,59.0,23,23,1,162.0,234,2,1,11,0,40
1,40,52.0,16,23,0,119.0,206,2,1,9,-2,43
1,40,68.0,18,18,1,149.0,200,2,1,4,-4,43
0,42,38.0,17,25,0,178.0,234,2,0,0,-22,38
1,42,58.0,24,24,1,170.0,250,2,0,0,-16,44
1,35,60.0,10,11,0,148.0,215,2,0,0,-23,43
0,42,32.0,8,23,0,174.0,231,2,0,0,-23,40
1,45,63.0,24,24,1,199.0,224,2,1,6,2,45
0,37,26.0,8,25,0,132.0,205,2,0,0,-22,36
0,38,19.0,9,14,0,87.0,199,2,0,0,-29,36
0,38,13.0,8,23,0,147.0,223,2,0,0,-24,31
0,40,16.0,11,12,0,149.0,225,2,0,0,-28,36
0,40,15.0,17,24,0,137.0,197,3,0,0,-34,37
0,35,11.0,12,16,0,165.0,246,3,0,0,-35,35
0,39,33.0,10,27,0,176.0,211,2,0,0,-21,39
0,35,18.0,7,16,0,122.0,195,2,0,0,-18,30
0,33,-1.0,9,22,0,123.0,212,3,0,0,-37,30
0,47,17.0,9,18,0,190.0,233,2,0,0,-30,39
0,38,14.0,16,19,0,143.0,210,2,0,0,-29,35
0,35,-4.0,8,12,0,66.0,185,3,0,0,-38,28
0,39,27.0,13,18,0,134.0,212,2,0,0,-23,37
1,41,45.0,14,20,0,153.0,237,2,0,0,-16,42
0,40,-3.0,9,26,0,113.0,206,3,0,0,-46,33
0,33,13.0,8,11,0,83.0,214,2,0,0,-27,31
0,36,13.0,6,18,0,144.0,221,2,0,0,-25,32
0,38,38.0,10,20,0,141.0,199,2,1,5,-6,34
0,39,20.0,12,15,0,127.0,233,2,0,0,-32,38
0,41,14.0,12,29,0,160.0,236,2,0,0,-31,35
0,43,11.0,12,19,0,154.0,222,2,0,0,-43,41
0,37,23.0,9,25,0,133.0,207,2,0,0,-16,32
0,39,58.0,23,23,1,179.0,220,2,0,0,-13,41
0,36,28.0,10,14,0,146.0,214,2,0,0,-17,36
0,45,48.0,11,20,0,215.0,256,2,1,4,-9,44
0,46,44.0,14,21,0,214.0,255,2,0,0,-23,43
1,34,55.0,18,18,1,114.0,193,2,0,0,-25,43
1,41,61.0,12,12,1,122.0,205,2,1,5,-11,43
0,39,46.0,9,19,0,152.0,200,2,1,7,-3,37
1,39,52.0,7,17,0,128.0,203,2,1,5,-3,43
0,41,49.0,25,27,0,211.0,240,2,1,6,-2,40
0,38,37.0,17,20,0,150.0,216,2,0,0,-17,40
1,39,52.0,18,18,1,146.0,226,2,0,0,-24,44
1,41,64.0,23,23,1,156.0,205,2,1,4,-5,44
1,39,66.0,23,23,1,168.0,215,2,1,9,4,40
0,34,37.0,9,13,0,122.0,212,2,1,7,-5,35
1,43,54.0,21,28,0,168.0,238,2,1,11,-6,45
1,37,56.0,12,23,0,154.0,218,2,0,0,-16,45
0,40,29.0,15,18,0,161.0,205,2,0,0,-16,38
1,39,42.0,12,16,0,125.0,211,2,0,0,-24,43
1,40,66.0,18,22,0,143.0,241,2,2,13,13,41
1,35,66.0,19,23,0,171.0,230,2,0,0,-15,43
0,42,56.0,9,21,0,173.0,255,2,0,0,-19,42
0,44,45.0,21,24,0,165.0,222,2,1,4,-3,41
1,38,58.0,21,21,1,171.0,226,2,0,0,-24,43
1,33,58.0,9,10,0,141.0,195,2,0,0,-24,43
1,40,61.0,20,20,1,142.0,230,2,1,5,-4,43
1,37,57.0,19,19,1,143.0,206,2,0,0,-16,44
1,37,62.0,17,17,1,144.0,231,2,0,0,-21,43
1,34,58.0,19,19,1,144.0,245,2,0,0,-26,42
0,41,12.0,15,22,0,209.0,248,3,0,0,-37,37
0,37,1.0,9,17,0,97.0,195,2,0,0,-37,33
0,39,33.0,5,20,0,161.0,243,2,0,0,-18,38
0,40,24.0,13,17,0,203.0,238,2,0,0,-28,40
0,45,1.0,16,26,0,187.0,257,3,0,0,-47,40
0,37,11.0,13,23,0,162.0,214,2,0,0,-26,31
0,37,-4.0,11,26,0,139.0,207,3,0,0,-42,31
0,40,28.0,12,19,0,163.0,218,2,0,0,-20,36
0,40,35.0,14,17,0,133.0,217,2,0,0,-20,43
1,40,64.0,20,20,1,203.0,235,2,1,10,-2,42
0,39,24.0,7,13,0,152.0,207,2,0,0,-19,35
0,37,10.0,13,14,0,97.0,199,2,0,0,-32,33
0,32,13.0,8,17,0,136.0,215,3,0,0,-30,32
0,35,26.0,8,11,0,146.0,217,2,0,0,-14,34
0,43,26.0,15,21,0,195.0,234,2,0,0,-36,42
0,41,24.0,11,22,0,151.0,207,2,0,0,-26,39
0,38,11.0,13,17,0,139.0,219,2,0,0,-30,33
0,41,22.0,12,24,0,206.0,227,2,0,0,-20,33
0,41,11.0,16,22,0,134.0,214,3,0,0,-36,38
0,44,53.0,19,19,1,209.0,263,2,0,0,-15,43
0,38,19.0,6,19,0,155.0,207,2,0,0,-27,35
0,43,22.0,10,18,0,133.0,230,2,0,0,-28,40
0,35,15.0,8,13,0,121.0,185,2,0,0,-18,28
0,35,35.0,7,15,0,111.0,204,2,1,5,-8,35
0,45,28.0,9,28,0,158.0,235,2,0,0,-24,39
