PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
0,36,34.0,15,25,0,191.0,238,2,1,9,-2,33
0,36,38.0,8,19,0,213.0,258,2,1,9,-1,35
0,32,27.0,9,14,0,141.0,225,2,0,0,-15,32
0,31,9.0,11,24,0,118.0,216,2,0,0,-22,28
0,37,40.0,16,19,0,189.0,262,2,0,0,-28,41
0,37,26.0,12,27,0,150.0,244,2,0,0,-26,37
0,36,59.0,19,29,0,193.0,275,2,0,0,-19,44
1,47,73.0,21,21,1,199.0,269,2,2,14,14,43
0,33,34.0,10,16,0,157.0,238,2,1,8,-5,33
0,35,36.0,8,30,0,211.0,282,2,0,0,-22,38
0,37,67.0,25,25,1,242.0,280,2,2,15,15,36
0,35,28.0,18,18,1,172.0,244,2,0,0,-20,35
0,33,19.0,8,25,0,146.0,246,2,0,0,-25,34
0,32,8.0,9,16,0,136.0,228,2,0,0,-26,27
0,37,11.0,12,20,0,192.0,256,2,0,0,-24,33
0,36,59.0,12,22,0,214.0,262,2,2,13,13,37
0,38,39.0,19,19,1,200.0,258,2,0,0,-24,38
0,34,17.0,17,26,0,171.0,263,2,1,4,-13,28
0,35,21.0,9,20,0,171.0,227,2,0,0,-18,34
0,39,34.0,13,22,0,182.0,267,2,0,0,-22,41
0,33,21.0,9,18,0,126.0,200,2,0,0,-14,28
0,44,46.0,13,26,0,226.0,266,2,0,0,-13,44
0,35,60.0,24,24,1,220.0,298,2,0,0,-18,41
0,39,58.0,21,21,1,219.0,264,2,1,9,-2,41
1,35,71.0,17,17,1,184.0,246,2,0,0,-21,43
0,35,27.0,13,14,0,140.0,222,2,0,0,-33,38
1,37,52.0,21,21,1,179.0,235,2,0,0,-16,39
0,36,42.0,15,17,0,197.0,269,2,0,0,-33,39
0,37,51.0,11,21,0,170.0,239,2,0,0,-31,39
1,37,73.0,17,17,1,192.0,248,2,1,9,-12,43
1,33,69.0,10,10,1,131.0,229,2,0,0,-27,43
0,34,57.0,7,14,0,162.0,229,2,2,12,12,32
0,39,38.0,12,26,0,195.0,249,2,0,0,-15,38
0,35,27.0,8,21,0,118.0,221,2,0,0,-26,34
1,35,69.0,16,16,1,168.0,245,2,0,0,-33,44
0,36,51.0,15,17,0,155.0,279,2,0,0,-37,43
0,39,32.0,9,20,0,166.0,244,2,0,0,-19,37
0,36,48.0,18,19,0,196.0,258,2,0,0,-23,44
0,34,45.0,13,14,0,165.0,241,2,0,0,-24,38
1,34,74.0,18,18,1,161.0,250,2,0,0,-26,44
0,36,18.0,10,22,0,127.0,214,2,0,0,-22,31
1,37,63.0,23,23,1,165.0,229,2,0,0,-18,43
0,34,42.0,11,23,0,138.0,239,2,0,0,-34,34
0,41,45.0,13,26,0,212.0,251,2,0,0,-21,40
0,35,43.0,8,23,0,149.0,246,2,0,0,-30,42
