PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
0,36,29.0,10,17,0,109.0,227,2,0,0,-22,34
1,38,66.0,32,32,1,175.0,251,3,1,8,-29,44
0,34,57.0,24,26,0,172.0,252,2,0,0,-32,44
1,33,63.0,23,23,1,136.0,237,2,0,0,-28,43
0,35,59.0,17,24,0,228.0,265,2,2,18,18,35
1,34,53.0,17,22,0,109.0,227,2,0,0,-33,43
1,40,81.0,17,24,0,190.0,275,2,2,21,21,43
1,32,76.0,16,16,1,147.0,236,2,0,0,-26,43
0,39,25.0,9,22,0,143.0,205,2,0,0,-27,37
1,32,64.0,19,19,1,130.0,224,2,0,0,-29,43
0,35,14.0,9,19,0,106.0,200,2,0,0,-20,31
1,33,75.0,16,16,1,167.0,258,2,0,0,-27,44
0,36,46.0,17,34,0,181.0,223,2,1,12,3,35
0,35,39.0,17,17,1,175.0,256,2,0,0,-39,37
0,35,37.0,10,17,0,132.0,240,2,0,0,-25,38
0,39,61.0,19,24,0,204.0,244,2,1,9,-2,44
1,36,65.0,22,22,1,166.0,259,2,0,0,-30,44
0,37,65.0,16,24,0,210.0,271,2,2,13,13,38
1,33,78.0,16,16,1,151.0,249,2,0,0,-24,44
0,36,37.0,13,15,0,180.0,249,2,0,0,-28,39
0,39,68.0,23,23,1,189.0,226,2,1,11,-1,43
0,35,60.0,20,21,0,139.0,243,2,0,0,-24,44
0,39,25.0,11,20,0,143.0,249,3,0,0,-52,44
1,34,54.0,10,14,0,131.0,219,2,0,0,-17,43
0,36,12.0,12,24,0,145.0,258,2,0,0,-32,32
0,36,28.0,10,21,0,146.0,248,3,0,0,-38,36
0,38,25.0,8,20,0,203.0,243,2,1,6,-14,35
0,35,33.0,11,26,0,216.0,278,2,0,0,-24,39
0,34,26.0,8,19,0,128.0,238,2,0,0,-22,34
0,33,13.0,11,13,0,146.0,228,3,1,4,-27,33
1,34,63.0,11,23,0,189.0,245,2,0,0,-16,43
1,36,78.0,26,26,1,187.0,280,3,1,20,-10,43
1,37,52.0,19,19,1,176.0,229,2,0,0,-19,42
1,37,72.0,27,27,1,157.0,239,3,1,9,-20,43
0,32,22.0,11,17,0,139.0,237,2,0,0,-19,32
0,36,34.0,10,24,0,178.0,253,2,0,0,-19,37
0,34,13.0,8,11,0,154.0,240,2,0,0,-21,29
0,40,50.0,7,24,0,203.0,253,2,1,5,-4,41
0,32,49.0,13,16,0,160.0,255,2,2,14,14,29
0,35,22.0,7,16,0,129.0,236,2,0,0,-27,35
0,36,33.0,8,23,0,200.0,238,2,1,4,-7,32
0,34,22.0,10,21,0,117.0,239,3,0,0,-28,33
0,36,62.0,12,16,0,222.0,289,2,2,15,15,39
0,36,44.0,13,29,0,220.0,305,2,0,0,-25,41
0,34,14.0,11,14,0,146.0,258,2,0,0,-19,30
0,34,11.0,12,19,0,102.0,186,2,0,0,-28,32
0,33,24.0,9,13,0,131.0,218,2,0,0,-29,32
1,36,64.0,18,21,0,196.0,260,3,2,18,6,39
0,36,52.0,17,17,1,176.0,253,2,0,0,-22,41
1,35,73.0,20,20,1,173.0,287,2,0,0,-24,44
0,38,46.0,12,26,0,197.0,267,2,0,0,-13,35
1,38,61.0,20,23,0,191.0,265,2,2,11,11,40
1,34,64.0,20,20,1,155.0,224,2,0,0,-33,43
1,37,59.0,19,24,0,182.0,246,2,0,0,-20,45
0,40,52.0,13,18,0,168.0,258,2,0,0,-25,44
0,35,46.0,14,17,0,162.0,256,2,0,0,-29,42
0,35,41.0,8,16,0,212.0,303,2,0,0,-23,39
1,33,75.0,16,16,1,152.0,241,2,0,0,-28,44
1,43,72.0,26,26,1,235.0,264,2,1,4,-3,45
0,35,61.0,24,32,0,215.0,304,2,1,4,-8,40
0,37,54.0,21,23,0,157.0,267,2,0,0,-19,44
1,37,98.0,25,25,1,204.0,263,2,2,17,17,45
0,42,38.0,11,17,0,200.0,250,2,0,0,-21,44
1,36,71.0,19,23,0,191.0,228,2,1,8,-5,45
0,34,68.0,28,28,1,235.0,291,2,1,4,-9,41
1,33,76.0,13,13,1,166.0,243,2,0,0,-21,43
1,36,59.0,25,25,1,199.0,287,2,0,0,-22,40
1,35,66.0,18,18,1,130.0,219,2,0,0,-14,43
0,33,38.0,8,19,0,173.0,256,2,0,0,-21,32
0,43,45.0,18,18,1,206.0,269,2,0,0,-23,45
0,34,54.0,19,23,0,204.0,280,2,0,0,-29,41
0,39,49.0,13,22,0,166.0,259,2,0,0,-19,42
1,34,60.0,20,20,1,173.0,225,2,0,0,-27,43
0,36,36.0,8,25,0,153.0,220,2,0,0,-15,37
0,33,6.0,8,12,0,119.0,213,2,0,0,-28,27
0,33,37.0,13,19,0,210.0,242,2,1,9,-1,32
0,36,46.0,16,16,1,197.0,258,2,1,8,-3,35
0,35,32.0,9,14,0,170.0,263,2,0,0,-33,37
1,38,67.0,20,20,1,218.0,285,2,1,9,-2,41
0,32,31.0,18,18,1,116.0,237,2,0,0,-19,31
0,34,26.0,5,23,0,165.0,264,2,0,0,-21,34
0,32,25.0,10,17,0,166.0,248,2,0,0,-17,33
0,34,35.0,10,22,0,164.0,257,2,0,0,-31,38
0,32,29.0,8,13,0,161.0,237,2,1,6,-11,33
1,38,67.0,26,26,1,187.0,277,2,0,0,-23,45
0,33,22.0,8,17,0,108.0,208,2,0,0,-19,34
0,35,18.0,15,22,0,156.0,253,2,0,0,-28,34
0,39,28.0,14,17,0,192.0,266,2,0,0,-21,38
0,35,48.0,20,20,1,157.0,270,2,0,0,-33,37
0,34,20.0,12,23,0,160.0,212,2,0,0,-24,33
0,33,16.0,11,16,0,111.0,212,2,0,0,-20,31
0,34,51.0,14,17,0,253.0,268,2,1,9,2,36
0,40,44.0,20,22,0,185.0,248,2,1,11,-10,42
0,36,52.0,15,18,0,185.0,262,2,2,15,15,34
0,34,23.0,12,14,0,159.0,244,2,0,0,-27,35
0,38,21.0,12,21,0,141.0,223,2,0,0,-22,35
0,32,20.0,7,12,0,158.0,239,2,0,0,-18,31
0,33,30.0,9,33,0,160.0,248,2,0,0,-26,37
0,35,46.0,18,20,0,205.0,278,2,0,0,-27,39
0,32,44.0,11,14,0,183.0,271,2,2,13,13,29
