PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
0,43,15.0,14,15,0,105.0,197,2,0,0,-24
1,43,52.0,12,15,0,140.0,209,2,1,12,1
0,41,18.0,15,19,0,126.0,201,2,0,0,-24
0,43,30.0,23,23,1,115.0,207,2,0,0,-23
0,44,20.0,10,25,0,133.0,208,2,0,0,-23
0,44,-6.0,18,19,0,84.0,220,4,0,0,-56
0,48,9.0,13,17,0,149.0,235,3,0,0,-35
0,45,30.0,17,17,1,79.0,204,2,0,0,-23
0,44,22.0,12,24,0,143.0,218,2,0,0,-24
0,44,28.0,10,26,0,136.0,208,2,0,0,-23
1,46,40.0,24,24,1,103.0,206,2,0,0,-23
0,43,39.0,21,21,1,155.0,230,2,0,0,-23
0,43,1.0,12,23,0,122.0,214,3,0,0,-40
0,44,27.0,21,24,0,124.0,216,2,0,0,-23
0,45,30.0,15,24,0,121.0,213,2,0,0,-24
1,46,74.0,13,18,0,175.0,235,2,2,23,23
0,45,-57.0,11,34,0,79.0,227,7,0,0,-98
0,45,9.0,10,15,0,71.0,229,3,0,0,-34
0,44,35.0,16,16,1,89.0,231,2,0,0,-24
1,44,42.0,26,26,1,117.0,209,2,0,0,-24
0,40,20.0,17,17,1,101.0,193,2,0,0,-23
0,48,29.0,20,22,0,130.0,222,2,0,0,-24
1,44,39.0,16,16,1,115.0,207,2,0,0,-23
0,43,-13.0,13,18,0,110.0,218,4,0,0,-56
1,45,67.0,18,18,1,147.0,216,2,1,12,1
0,43,14.0,13,17,0,153.0,227,2,0,0,-23
1,42,45.0,18,18,1,106.0,198,2,0,0,-23
0,45,29.0,19,19,1,160.0,213,2,0,0,-22
0,43,30.0,25,25,1,113.0,221,2,0,0,-23
0,43,22.0,14,22,0,132.0,218,2,0,0,-23
0,45,31.0,10,28,0,123.0,226,2,0,0,-23
0,43,21.0,11,28,0,97.0,211,2,0,0,-23
0,43,32.0,15,15,1,113.0,205,2,0,0,-23
