PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
0,42,60,23,25,0,210,231,2,1,8,-1,43
1,41,50,15,19,0,163,205,2,0,0,-15,44
1,34,59,25,25,1,138,201,2,0,0,-25,43
1,41,88,24,24,1,192,229,2,1,12,3,44
1,40,65,24,24,1,156,220,2,0,0,-29,44
0,34,58,19,23,0,189,234,2,0,0,-23,43
1,40,89,18,18,1,172,214,2,2,17,17,43
0,43,25,14,27,0,184,235,2,0,0,-34,37
1,38,46,13,25,0,128,226,2,0,0,-26,44
0,36,54,16,20,0,126,202,2,0,0,-18,43
1,39,58,18,18,1,172,212,2,0,0,-16,44
1,36,81,28,28,1,171,207,2,1,13,0,43
0,42,34,10,34,0,121,196,2,1,7,-15,38
0,42,31,12,17,0,151,250,3,0,0,-54,45
1,38,47,23,23,1,118,208,2,0,0,-29,43
1,36,54,22,22,1,170,206,2,0,0,-26,43
0,43,9,14,23,0,114,226,2,0,0,-35,35
1,36,58,16,16,1,107,180,2,0,0,-19,43
1,38,55,23,23,1,126,197,2,0,0,-17,43
0,45,62,14,29,0,195,241,2,1,12,4,41
