PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
0,44,13,16,18,0,-44,178,4,1,5,-35
1,47,26,16,18,0,-22,192,5,2,13,-20
0,45,17,15,16,0,54,205,4,1,8,-32
1,45,46,17,17,1,-35,195,3,1,10,-15
1,44,20,12,14,0,-50,179,4,1,6,-30
1,41,23,17,21,0,-51,178,2,0,0,-25
1,42,33,16,16,1,43,202,3,0,0,-36
1,46,66,20,20,1,-8,191,3,2,19,6
0,44,28,14,18,0,-12,186,2,0,0,-23
0,48,-42,10,13,0,-101,192,10,1,5,-93
1,44,25,7,15,0,-47,182,2,0,0,-24
0,47,-7,21,21,1,-48,193,8,1,6,-62
0,46,-33,17,21,0,-66,187,11,2,16,-82
0,46,9,19,23,0,-11,197,8,2,22,-36
0,48,12,17,24,0,-17,191,3,0,0,-36
1,43,30,16,19,0,-37,193,2,0,0,-25
1,43,31,11,12,0,82,187,2,0,0,-25
1,44,36,14,14,1,-37,182,4,1,8,-26
1,42,35,15,22,0,-11,183,3,1,6,-17
1,46,39,22,22,1,9,190,2,0,0,-25
0,44,-26,18,18,1,-41,181,7,1,8,-79
1,41,26,16,16,1,-58,177,3,0,0,-36
1,44,24,12,13,0,-43,197,2,0,0,-25
1,44,37,16,16,1,-5,172,6,3,26,-24
1,44,26,12,13,0,-9,184,2,0,0,-23
1,42,31,14,14,1,-41,174,2,0,0,-30
1,44,43,15,16,0,-9,193,7,4,35,-5
1,42,31,13,13,1,-50,182,2,0,0,-33
1,44,26,13,15,0,-29,190,2,0,0,-23
1,43,30,20,20,1,-32,177,2,0,0,-30
0,47,-62,12,23,0,-74,194,9,0,0,-115
0,45,-52,10,17,0,-97,177,11,2,14,-89
0,42,-17,11,16,0,-8,199,5,0,0,-68
1,43,34,20,20,1,60,200,2,0,0,-30
0,46,-23,11,19,0,-46,195,6,1,5,-73
0,44,-7,19,22,0,0,188,12,5,38,-50
1,42,32,14,16,0,-41,190,2,0,0,-21
0,45,-20,13,15,0,48,191,5,1,6,-63
0,46,-27,14,18,0,-85,186,6,0,0,-75
0,47,-34,15,19,0,-25,208,7,0,0,-85
1,46,41,18,18,1,-16,178,3,1,11,-20
1,47,21,22,22,1,-20,197,6,2,15,-35
0,45,6,16,18,0,-44,186,7,2,11,-43
1,45,16,14,14,1,-75,196,3,0,0,-42
0,45,16,18,23,0,-25,186,2,0,0,-30
1,43,41,12,12,1,-42,188,3,1,5,-25
1,41,44,13,13,1,-19,179,3,1,11,-19
1,42,32,22,22,1,-42,185,2,0,0,-30
0,47,-27,13,18,0,11,201,7,2,13,-75
0,46,20,10,22,0,23,205,2,0,0,-23
1,45,12,18,18,1,-20,183,4,1,5,-46
1,46,26,10,14,0,-17,191,3,1,8,-23
1,43,27,16,16,1,-61,176,2,0,0,-31
1,43,34,12,17,0,1,184,2,0,0,-18
1,41,21,18,18,1,-49,185,3,0,0,-40
0,39,23,18,19,0,2,177,2,0,0,-31
0,48,-19,11,20,0,-69,194,5,0,0,-68
0,47,-50,16,16,1,-44,202,12,3,24,-116
1,42,36,19,19,1,27,202,2,0,0,-31
1,43,39,16,17,0,-60,184,4,2,17,-12
1,42,20,12,14,0,-58,180,2,0,0,-31
0,49,-2,10,23,0,-22,205,5,0,0,-52
1,44,28,11,16,0,-73,184,4,1,8,-22
0,46,0,9,16,0,-4,192,4,0,0,-46
0,51,-36,11,16,0,-65,221,8,1,6,-83
1,46,29,25,25,1,-31,199,2,0,0,-33
1,42,25,10,19,0,-1,200,2,0,0,-31
0,43,-37,16,16,1,-84,179,10,2,17,-88
0,46,18,14,22,0,-43,192,2,0,0,-29
1,45,23,20,20,1,-69,186,2,0,0,-31
1,43,62,18,18,1,93,193,2,1,9,0
1,47,36,25,25,1,-26,198,6,3,28,-23
1,46,32,10,17,0,-58,182,3,1,4,-14
1,42,30,11,22,0,-64,177,2,0,0,-18
0,47,30,17,17,1,-7,206,4,1,5,-30
1,45,56,22,22,1,-25,177,7,4,39,-2
0,43,-61,18,18,1,-23,178,11,3,23,-104
0,44,-21,9,21,0,-86,199,8,1,6,-72
1,47,66,18,18,1,11,213,4,3,22,6
1,47,17,11,21,0,-31,195,8,3,20,-33
0,46,-67,10,25,0,-78,199,9,0,0,-113
1,41,53,14,21,0,117,205,2,1,9,1
0,47,7,11,17,0,-33,194,7,2,15,-38
1,43,31,23,23,1,-47,188,3,0,0,-34
1,44,17,14,24,0,-44,186,2,0,0,-31
1,44,4,15,18,0,-54,194,5,1,5,-48
1,43,39,16,16,1,-19,180,2,0,0,-21
1,44,38,17,17,1,-41,189,3,1,5,-14
0,45,-14,11,17,0,-50,178,9,2,19,-61
0,49,-24,18,19,0,-45,198,5,0,0,-72
1,45,32,25,25,1,-21,188,2,0,0,-31
0,48,9,13,15,0,-57,196,10,4,25,-37
1,46,17,27,27,1,-23,196,6,2,15,-42
0,44,-43,26,26,1,-70,178,11,2,19,-92
0,46,-23,9,22,0,2,184,6,1,8,-65
0,44,26,12,15,0,69,194,2,0,0,-25
0,44,-68,9,25,0,-46,183,10,1,6,-112
0,46,15,8,16,0,-49,193,3,0,0,-34
0,48,13,13,27,0,4,199,4,1,6,-39
0,47,-42,11,14,0,-52,196,9,1,9,-87
