PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
0,42,-63.0,12,13,0,-78.0,176,9,1,9,-99
0,46,-85.0,14,15,0,-89.0,188,13,2,15,-125
0,45,-6.0,18,18,1,-36.0,185,8,2,14,-58
0,46,-16.0,11,27,0,-76.0,179,7,1,6,-62
0,45,-4.0,10,19,0,-78.0,190,5,1,5,-48
0,46,14.0,15,21,0,2.0,200,4,1,5,-34
0,45,-50.0,12,12,1,-22.0,188,10,2,11,-100
0,50,-86.0,19,20,0,-55.0,193,16,3,24,-127
0,45,10.0,16,16,1,16.0,195,3,0,0,-37
0,47,8.0,11,18,0,-28.0,192,4,1,5,-40
0,46,-21.0,16,16,1,-119.0,178,6,0,0,-77
0,46,-28.0,12,14,0,-62.0,185,9,2,19,-71
0,47,17.0,17,17,1,-38.0,189,8,3,30,-37
0,42,3.0,23,23,1,7.0,182,8,3,28,-46
0,41,24.0,11,23,0,49.0,191,2,0,0,-23
0,47,13.0,17,25,0,-44.0,194,4,1,9,-36
0,45,-28.0,10,19,0,-63.0,177,5,0,0,-68
1,50,38.0,12,30,0,22.0,203,5,2,18,-17
0,48,-73.0,18,25,0,-45.0,200,13,2,15,-117
0,45,22.0,9,18,0,-6.0,195,2,0,0,-25
1,44,27.0,17,19,0,-65.0,180,2,0,0,-23
0,46,-30.0,13,17,0,-44.0,190,8,1,8,-75
1,45,35.0,20,20,1,94.0,200,2,0,0,-25
1,49,45.0,15,22,0,8.0,195,7,4,34,-3
1,48,28.0,14,20,0,-41.0,188,2,0,0,-25
1,42,19.0,9,14,0,-38.0,168,2,0,0,-30
0,48,10.0,24,24,1,-6.0,201,6,2,11,-55
0,45,-24.0,14,16,0,-83.0,185,7,1,8,-65
0,44,-31.0,19,19,1,-44.0,186,7,2,17,-82
1,48,29.0,15,15,1,1.0,211,8,4,33,-27
0,48,-26.0,22,22,1,-70.0,186,5,0,0,-80
1,44,14.0,11,15,0,-65.0,172,2,0,0,-32
1,44,27.0,10,13,0,40.0,193,2,0,0,-30
0,48,-49.0,15,23,0,-60.0,208,7,0,0,-91
1,45,18.0,15,16,0,-38.0,185,2,0,0,-31
0,45,27.0,18,18,1,44.0,200,2,0,0,-30
0,44,-67.0,10,19,0,-68.0,184,7,0,0,-113
0,46,-2.0,10,20,0,-59.0,185,7,2,14,-46
0,45,33.0,12,23,0,34.0,190,3,1,8,-15
0,46,-19.0,13,16,0,-24.0,188,7,1,8,-61
0,46,-29.0,14,15,0,-58.0,184,7,1,9,-73
0,50,6.0,13,17,0,-53.0,201,5,1,9,-45
0,48,-10.0,10,30,0,34.0,197,5,1,5,-50
0,46,-20.0,11,11,1,-11.0,212,7,1,9,-72
0,48,-22.0,13,17,0,-15.0,193,7,1,9,-64
1,45,28.0,12,14,0,-80.0,187,5,2,18,-22
1,47,6.0,15,15,1,-23.0,207,5,1,6,-50
0,48,-39.0,10,34,0,-69.0,192,7,1,6,-83
0,45,4.0,12,25,0,-43.0,175,5,1,8,-40
1,44,18.0,11,22,0,-87.0,176,2,0,0,-30
1,50,38.0,16,20,0,-70.0,206,5,2,13,-14
0,43,27.0,19,19,1,51.0,176,3,1,6,-23
0,47,-47.0,13,14,0,-27.0,189,9,2,9,-87
0,47,-35.0,18,19,0,-74.0,191,10,3,22,-74
0,46,31.0,13,19,0,-32.0,194,2,0,0,-18
0,45,1.0,14,18,0,-33.0,194,8,3,23,-45
0,50,0.0,10,22,0,3.0,209,9,3,22,-46
0,49,-103.0,11,21,0,-79.0,189,11,1,6,-141
0,45,-35.0,11,17,0,-77.0,179,9,2,17,-78
0,43,4.0,8,24,0,93.0,207,3,0,0,-43
0,47,-51.0,19,19,1,-45.0,197,13,3,24,-105
0,46,-27.0,10,17,0,-32.0,187,9,2,14,-72
0,47,-61.0,11,16,0,-56.0,188,9,1,9,-107
0,49,0.0,9,25,0,10.0,201,3,0,0,-53
0,44,10.0,15,18,0,13.0,198,6,2,15,-28
