PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
1,45,25.0,8,22,0,17.0,194,2,0,0,-24
1,45,36.0,21,21,1,-58.0,183,2,0,0,-23
1,44,27.0,17,20,0,-47.0,183,2,0,0,-25
0,49,7.0,12,19,0,2.0,201,8,3,24,-45
0,48,-7.0,14,26,0,31.0,201,6,1,9,-56
1,42,57.0,15,17,0,79.0,199,2,1,12,1
1,44,31.0,12,16,0,-35.0,178,2,0,0,-24
1,42,28.0,11,20,0,-27.0,174,2,0,0,-23
1,43,46.0,18,18,1,-40.0,176,3,1,9,-15
1,43,36.0,17,17,1,-32.0,181,2,0,0,-23
0,48,17.0,15,29,0,-11.0,203,3,0,0,-36
1,47,41.0,23,23,1,5.0,196,5,2,17,-18
1,44,27.0,14,23,0,-36.0,187,2,0,0,-24
1,43,35.0,13,13,1,-14.0,179,2,0,0,-24
1,47,53.0,17,17,1,-31.0,202,4,2,13,-10
1,45,63.0,14,26,0,51.0,206,3,2,23,10
0,51,-6.0,15,19,0,10.0,209,8,2,12,-53
1,42,23.0,13,25,0,-75.0,173,2,0,0,-25
1,44,36.0,16,16,1,-17.0,188,4,1,8,-28
1,46,27.0,12,22,0,0.0,195,2,0,0,-25
1,45,34.0,16,16,1,-25.0,180,2,0,0,-24
1,41,29.0,12,14,0,86.0,182,2,0,0,-25
1,44,40.0,20,20,1,-33.0,179,3,1,5,-18
0,42,27.0,11,15,0,39.0,183,2,0,0,-23
1,41,33.0,13,17,0,-2.0,183,2,0,0,-25
0,48,-35.0,11,16,0,-28.0,199,10,2,15,-85
0,44,2.0,21,21,1,-52.0,190,5,1,5,-57
0,50,-36.0,17,20,0,-11.0,206,10,2,15,-84
0,46,-25.0,10,27,0,-44.0,193,9,2,14,-74
0,45,30.0,9,13,0,9.0,192,4,2,13,-18
0,42,23.0,18,18,1,-17.0,184,4,1,5,-37
1,44,41.0,15,15,1,40.0,195,2,0,0,-21
1,47,41.0,21,21,1,-36.0,188,5,2,22,-20
0,42,3.0,26,26,1,-5.0,178,7,3,20,-45
0,49,22.0,12,22,0,-39.0,198,2,0,0,-32
0,47,-40.0,12,18,0,-65.0,188,8,1,4,-90
1,44,34.0,16,18,0,-66.0,177,4,2,16,-16
0,42,-32.0,15,18,0,-1.0,180,9,3,23,-68
0,47,-17.0,15,21,0,-28.0,192,6,1,5,-62
0,46,-42.0,10,22,0,-24.0,217,8,0,0,-92
1,42,20.0,11,14,0,20.0,181,2,0,0,-32
0,44,25.0,13,17,0,-28.0,188,3,1,7,-25
0,46,-32.0,10,12,0,-58.0,195,7,1,6,-75
1,46,35.0,20,20,1,-6.0,191,7,3,28,-26
1,45,32.0,30,30,1,37.0,194,2,0,0,-23
0,48,-27.0,13,23,0,-53.0,197,8,1,5,-73
0,46,-41.0,11,13,0,-31.0,204,10,2,9,-87
1,41,22.0,11,11,1,-80.0,183,3,0,0,-42
1,44,36.0,15,22,0,-16.0,187,3,1,8,-15
0,42,26.0,11,15,0,24.0,181,2,0,0,-23
1,42,31.0,10,17,0,12.0,178,2,0,0,-18
1,45,16.0,14,14,1,-30.0,196,6,2,15,-44
0,47,-95.0,17,22,0,-38.0,188,14,3,24,-131
1,45,18.0,12,13,0,-59.0,189,2,0,0,-31
1,41,36.0,12,23,0,-61.0,179,2,0,0,-19
1,43,18.0,14,25,0,-52.0,186,2,0,0,-31
1,42,23.0,10,13,0,36.0,184,3,1,9,-33
1,43,51.0,18,18,1,6.0,187,2,1,10,-12
0,47,-33.0,11,22,0,-12.0,185,9,3,20,-76
0,44,28.0,12,20,0,43.0,198,3,1,6,-25
0,51,-40.0,10,19,0,-109.0,202,9,0,0,-91
0,41,-14.0,11,19,0,53.0,184,4,0,0,-56
1,46,17.0,17,17,1,-16.0,203,5,1,6,-47
1,44,34.0,10,16,0,-59.0,186,2,0,0,-18
0,47,-79.0,12,13,0,-54.0,191,10,0,0,-126
0,46,-10.0,18,23,0,-43.0,184,8,2,15,-51
0,44,-22.0,13,14,0,-30.0,179,7,2,13,-63
0,45,7.0,12,17,0,-27.0,190,3,0,0,-40
0,46,25.0,15,15,1,44.0,201,3,0,0,-40
0,44,10.0,16,18,0,-39.0,185,3,0,0,-41
0,46,21.0,10,27,0,110.0,219,2,0,0,-29
1,43,30.0,9,15,0,-36.0,175,2,0,0,-19
0,45,20.0,11,24,0,18.0,195,4,1,5,-30
1,42,50.0,12,18,0,-24.0,181,2,1,9,0
1,42,23.0,12,13,0,-30.0,185,4,1,6,-29
0,43,25.0,11,14,0,-25.0,191,3,0,0,-26
0,45,-33.0,11,19,0,-19.0,198,11,3,23,-80
0,45,26.0,12,17,0,0.0,213,4,1,8,-17
1,42,26.0,11,16,0,-9.0,184,2,0,0,-26
1,42,30.0,13,14,0,-71.0,181,3,1,8,-23
1,40,36.0,16,17,0,-28.0,177,2,0,0,-19
0,47,2.0,15,23,0,-43.0,195,5,1,9,-50
1,43,26.0,16,19,0,-66.0,179,4,1,10,-23
1,52,32.0,26,26,1,-7.0,210,7,3,26,-23
0,44,30.0,12,17,0,-30.0,189,2,0,0,-20
0,42,8.0,8,13,0,-20.0,201,4,0,0,-40
1,44,33.0,12,13,0,-55.0,179,3,1,5,-14
0,43,4.0,14,20,0,76.0,190,3,0,0,-37
0,47,-44.0,13,24,0,-91.0,189,9,1,5,-88
0,45,-9.0,13,15,0,-45.0,199,6,1,6,-56
0,45,-17.0,15,19,0,-67.0,184,9,2,14,-60
1,43,28.0,10,13,0,-60.0,188,2,0,0,-17
1,45,26.0,17,18,0,-80.0,192,2,0,0,-26
1,43,35.0,20,20,1,26.0,192,2,0,0,-28
1,43,35.0,8,13,0,-55.0,197,2,0,0,-17
1,46,25.0,20,20,1,-13.0,201,3,0,0,-36
0,45,-4.0,27,27,1,-15.0,189,7,2,20,-59
1,46,60.0,22,22,1,-71.0,192,4,2,15,-2
0,43,13.0,10,15,0,-27.0,189,3,0,0,-30
0,48,-4.0,15,21,0,-2.0,196,7,1,10,-49
