PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
1,45,37.0,17,17,1,109.0,201,2,0,0,-25
0,46,40.0,15,15,1,150.0,242,2,0,0,-23
1,45,37.0,17,17,1,107.0,199,2,0,0,-25
1,49,39.0,20,20,1,78.0,203,2,0,0,-23
0,47,26.0,13,21,0,165.0,218,2,0,0,-24
0,47,30.0,17,17,1,136.0,211,2,0,0,-25
1,46,57.0,18,18,1,141.0,194,2,1,11,-2
1,46,89.0,16,16,1,103.0,222,2,2,23,23
0,44,-15.0,12,20,0,78.0,198,4,0,0,-52
0,46,22.0,10,15,0,131.0,206,2,0,0,-24
1,47,66.0,15,17,0,172.0,226,3,2,23,12
0,45,33.0,17,17,1,131.0,206,2,0,0,-24
0,46,27.0,11,20,0,145.0,220,2,0,0,-24
0,45,32.0,20,20,1,161.0,214,2,0,0,-24
0,50,29.0,11,24,0,145.0,220,2,0,0,-23
1,43,42.0,18,18,1,82.0,191,2,0,0,-23
0,46,-29.0,15,21,0,97.0,228,5,0,0,-74
0,47,-32.0,15,28,0,99.0,218,5,0,0,-74
1,48,43.0,23,23,1,125.0,217,2,0,0,-23
0,45,24.0,11,22,0,77.0,202,2,0,0,-24
0,45,20.0,13,18,0,86.0,206,2,0,0,-24
0,47,32.0,14,14,1,132.0,218,2,0,0,-24
0,43,19.0,17,20,0,100.0,192,2,0,0,-23
0,45,14.0,8,25,0,133.0,208,2,0,0,-25
0,46,35.0,25,25,1,102.0,221,2,0,0,-24
0,45,29.0,11,21,0,112.0,204,2,0,0,-23
0,46,24.0,10,20,0,132.0,207,2,0,0,-23
0,44,0.0,14,15,0,143.0,223,3,0,0,-41
0,45,29.0,26,26,1,129.0,215,2,0,0,-23
0,48,-9.0,8,21,0,72.0,203,4,0,0,-51
0,47,-19.0,22,22,1,123.0,225,5,0,0,-73
0,50,-28.0,10,17,0,57.0,206,4,0,0,-72
0,45,35.0,20,20,1,170.0,223,2,0,0,-23
0,47,29.0,18,19,0,165.0,234,2,0,0,-23
