PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS,TRAIN_CARTS_USED
1,38,53,17,17,1,127,198,2,0,0,-25,44
0,40,53,9,17,0,132,193,2,1,6,-2,40
1,39,49,15,17,0,106,190,2,0,0,-16,45
1,40,44,9,16,0,116,190,2,0,0,-18,43
1,36,72,21,21,1,131,182,2,1,10,1,43
1,37,73,19,19,1,130,195,2,1,9,-2,43
1,40,53,13,13,1,101,199,2,0,0,-18,44
1,36,54,16,16,1,118,182,2,0,0,-17,43
0,45,54,28,28,1,218,247,2,1,8,-5,42
1,40,56,15,15,1,145,225,2,0,0,-16,44
1,34,58,15,15,1,128,191,2,0,0,-25,43
1,42,73,19,19,1,155,205,2,1,11,0,43
1,37,53,16,16,1,96,192,2,0,0,-27,44
1,36,72,13,13,1,122,190,2,1,12,-8,43
1,38,47,13,16,0,110,185,2,1,6,-10,43
1,36,52,12,17,0,130,200,2,0,0,-17,44
1,38,54,14,26,0,158,222,2,0,0,-12,44
1,38,50,22,22,1,124,191,2,0,0,-25,45
0,44,48,14,23,0,204,225,2,1,5,-8,41
0,44,40,8,19,0,127,200,2,0,0,-18,42
