PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
1,54,62.0,30,30,1,-8.0,211,8,4,35,0
1,46,42.0,27,27,1,17.0,207,6,2,23,-29
1,52,25.0,20,23,0,-9.0,208,7,3,30,-28
1,51,38.0,23,23,1,-36.0,206,2,0,0,-24
0,43,-35.0,16,16,1,9.0,188,9,1,8,-85
0,48,-31.0,12,16,0,-38.0,192,10,2,14,-79
1,46,37.0,22,22,1,-74.0,181,2,0,0,-24
0,44,-3.0,8,15,0,20.0,215,4,0,0,-58
1,46,45.0,22,22,1,-22.0,194,2,0,0,-23
1,47,38.0,31,31,1,-38.0,193,4,1,11,-24
1,52,31.0,24,24,1,-25.0,210,9,4,33,-36
0,43,15.0,12,20,0,108.0,209,4,1,12,-27
1,49,51.0,16,16,1,12.0,202,8,4,38,-16
0,46,6.0,14,21,0,82.0,209,5,1,12,-46
0,48,10.0,19,19,1,-6.0,202,5,1,8,-51
1,47,59.0,17,17,1,-46.0,200,2,1,12,-1
1,45,35.0,26,26,1,14.0,190,4,1,11,-23
1,42,15.0,11,17,0,-73.0,174,3,0,0,-36
1,45,22.0,15,16,0,-42.0,188,6,1,12,-33
1,46,37.0,25,25,1,21.0,211,3,0,0,-36
1,48,60.0,20,20,1,-39.0,184,4,2,22,-2
1,46,38.0,26,26,1,14.0,189,2,0,0,-24
1,43,37.0,21,21,1,61.0,192,2,0,0,-25
0,46,7.0,16,23,0,12.0,205,9,3,25,-52
1,47,12.0,13,16,0,-55.0,194,4,0,0,-41
0,49,-1.0,20,20,1,13.0,195,5,1,11,-52
1,53,56.0,26,26,1,-40.0,205,6,3,26,-3
1,47,45.0,20,20,1,-38.0,205,2,0,0,-22
0,49,-26.0,13,14,0,-18.0,198,7,1,7,-75
1,44,33.0,11,13,0,-42.0,185,2,0,0,-21
0,46,-58.0,9,17,0,-50.0,193,10,1,6,-99
0,46,-18.0,11,14,0,13.0,198,4,0,0,-60
1,49,45.0,21,21,1,-17.0,196,4,2,14,-16
0,44,-14.0,18,19,0,-50.0,202,8,2,13,-65
0,46,-31.0,18,18,1,-40.0,201,6,1,5,-88
1,47,22.0,12,14,0,32.0,201,4,1,12,-32
0,44,10.0,15,18,0,53.0,188,2,0,0,-30
1,47,39.0,17,17,1,1.0,211,2,0,0,-21
0,48,-62.0,14,17,0,-66.0,200,9,0,0,-110
0,45,-55.0,10,20,0,-28.0,210,9,2,11,-100
0,47,-65.0,13,18,0,-64.0,196,9,1,6,-105
1,43,25.0,14,14,1,-23.0,188,3,0,0,-42
1,45,22.0,16,16,1,-70.0,187,2,0,0,-42
1,47,29.0,26,26,1,2.0,195,5,2,22,-30
0,49,-32.0,13,26,0,-13.0,205,8,1,9,-76
0,50,-67.0,24,24,1,-45.0,201,9,0,0,-122
0,44,32.0,16,23,0,101.0,202,3,1,12,-18
0,47,32.0,19,19,1,-9.0,200,2,0,0,-30
0,46,41.0,27,27,1,73.0,210,2,0,0,-30
0,50,-3.0,13,18,0,-34.0,190,5,1,10,-45
1,52,57.0,17,23,0,-74.0,211,3,2,16,7
1,44,32.0,19,19,1,-69.0,191,2,0,0,-31
1,42,37.0,11,16,0,4.0,183,2,0,0,-18
1,55,35.0,16,18,0,-68.0,207,5,2,18,-17
1,52,37.0,13,16,0,-49.0,207,3,1,9,-17
1,44,40.0,10,20,0,-57.0,193,2,0,0,-19
1,45,44.0,15,21,0,28.0,186,7,4,33,-12
0,46,-82.0,12,29,0,-31.0,198,11,1,8,-132
0,46,-57.0,14,15,0,-22.0,184,11,3,20,-94
0,46,-44.0,10,15,0,-30.0,195,9,1,8,-88
1,56,70.0,23,23,1,-38.0,208,6,4,32,7
1,46,19.0,15,15,1,-51.0,190,2,0,0,-42
0,45,-1.0,13,19,0,-15.0,191,8,3,22,-45
0,44,18.0,17,17,1,17.0,173,3,0,0,-44
0,46,-33.0,26,26,1,-45.0,195,8,1,9,-90
1,45,34.0,12,13,0,-20.0,210,2,0,0,-31
0,46,15.0,13,20,0,-26.0,186,6,2,17,-34
0,45,-16.0,13,24,0,5.0,192,11,4,28,-48
0,48,-32.0,14,19,0,-18.0,190,13,4,33,-73
1,55,44.0,12,22,0,-45.0,210,5,3,24,-5
0,46,-105.0,13,18,0,-56.0,187,12,0,0,-148
1,47,28.0,16,20,0,-3.0,194,3,1,9,-22
0,48,-38.0,12,14,0,1.0,208,10,3,24,-80
0,48,-57.0,22,22,1,-63.0,206,10,1,8,-113
1,49,32.0,30,30,1,-18.0,206,2,0,0,-29
1,48,47.0,14,14,1,-48.0,205,2,0,0,-25
1,44,27.0,15,17,0,-70.0,198,2,0,0,-25
1,47,21.0,16,16,1,5.0,200,5,1,9,-35
0,48,-56.0,11,20,0,-48.0,190,11,2,15,-103
1,49,40.0,23,23,1,-20.0,202,2,0,0,-25
0,47,-38.0,13,17,0,-41.0,198,5,0,0,-78
1,46,40.0,21,21,1,-3.0,207,2,0,0,-25
1,47,4.0,27,27,1,-61.0,208,5,0,0,-58
0,46,-43.0,12,15,0,-67.0,184,8,1,10,-85
0,43,35.0,14,15,0,94.0,193,5,2,22,-12
0,46,-29.0,13,19,0,-12.0,184,8,2,15,-68
1,44,34.0,12,21,0,-17.0,203,2,0,0,-25
1,47,18.0,18,18,1,-23.0,196,5,1,8,-44
0,48,-100.0,12,20,0,-54.0,193,18,4,33,-142
1,50,41.0,14,16,0,-39.0,197,2,0,0,-17
1,51,42.0,22,22,1,-62.0,197,4,2,17,-20
0,45,26.0,14,24,0,-12.0,199,2,0,0,-26
1,45,16.0,10,17,0,-52.0,182,2,0,0,-39
0,47,-54.0,11,18,0,-30.0,188,10,1,9,-90
1,44,15.0,12,17,0,-49.0,193,3,0,0,-40
1,45,39.0,16,16,1,-59.0,194,3,0,0,-27
1,45,29.0,24,24,1,6.0,202,4,1,9,-38
1,44,38.0,14,16,0,-20.0,192,2,0,0,-17
1,48,19.0,22,30,0,-18.0,198,4,1,6,-38
0,46,13.0,15,22,0,-22.0,193,6,2,14,-26
