PLAYER_WON,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
1,76.0,14,15,0,12.0,2,2,23,23
0,22.0,12,22,0,63.0,2,0,0,-23
0,-19.0,13,19,0,3.0,6,1,6,-63
1,56.0,16,16,1,28.0,3,1,12,-12
1,36.0,20,20,1,38.0,4,1,9,-32
0,-40.0,11,18,0,-63.0,11,2,17,-87
0,24.0,12,18,0,-50.0,2,0,0,-25
0,12.0,21,21,1,-6.0,10,4,31,-45
0,-97.0,12,25,0,-46.0,11,0,0,-147
0,25.0,16,16,1,-2.0,3,0,0,-36
0,-42.0,17,18,0,-75.0,8,1,5,-86
1,32.0,13,21,0,62.0,3,1,6,-17
0,6.0,14,18,0,14.0,7,3,27,-36
1,25.0,13,14,0,-43.0,2,0,0,-23
0,-28.0,18,18,1,-20.0,10,2,14,-79
1,30.0,11,19,0,23.0,2,0,0,-24
0,28.0,14,19,0,109.0,2,0,0,-23
1,41.0,13,20,0,-64.0,4,2,17,-7
1,31.0,19,19,1,-21.0,5,1,10,-32
1,28.0,9,25,0,-20.0,2,0,0,-24
0,-4.0,13,17,0,-51.0,6,1,6,-54
1,33.0,24,24,1,67.0,2,0,0,-23
1,0.0,15,26,0,-81.0,7,1,8,-53
1,53.0,12,23,0,22.0,2,1,12,1
1,26.0,14,16,0,-41.0,4,1,6,-26
1,22.0,14,17,0,-51.0,2,0,0,-30
0,-53.0,7,22,0,-47.0,11,0,0,-102
1,35.0,25,25,1,-73.0,8,3,32,-24
0,-31.0,23,23,1,-25.0,8,2,15,-86
0,-38.0,17,17,1,-45.0,11,1,9,-94
0,6.0,12,31,0,-59.0,4,1,8,-44
0,-32.0,12,24,0,-41.0,8,0,0,-88
0,-11.0,14,16,0,37.0,7,2,15,-58
0,-18.0,13,21,0,7.0,8,2,15,-62
1,25.0,13,14,0,-24.0,5,2,15,-26
0,21.0,15,19,0,16.0,5,2,19,-30
0,-11.0,17,20,0,3.0,11,4,33,-56
1,12.0,12,19,0,-43.0,4,1,6,-37
1,41.0,18,18,1,-45.0,3,1,12,-18
0,7.0,11,18,0,-27.0,4,1,6,-41
1,34.0,17,17,1,-47.0,2,0,0,-30
0,-4.0,11,20,0,-31.0,4,0,0,-53
1,21.0,11,15,0,-59.0,2,0,0,-32
0,-32.0,17,17,1,-64.0,12,3,22,-94
0,-31.0,9,16,0,82.0,6,0,0,-83
0,6.0,10,22,0,-67.0,6,2,15,-48
1,24.0,12,12,1,3.0,3,0,0,-41
1,22.0,15,20,0,56.0,2,0,0,-30
1,21.0,13,14,0,-34.0,2,0,0,-30
1,24.0,15,18,0,-32.0,4,1,10,-31
0,-32.0,10,16,0,-58.0,7,0,0,-83
1,21.0,17,23,0,25.0,4,1,10,-34
0,-41.0,20,20,1,-32.0,12,2,13,-105
1,22.0,11,16,0,-49.0,2,0,0,-32
1,44.0,19,19,1,42.0,2,0,0,-21
1,40.0,11,18,0,-83.0,2,1,9,-11
1,42.0,17,17,1,-27.0,2,0,0,-18
1,31.0,10,15,0,-49.0,3,1,5,-15
1,33.0,29,29,1,-42.0,2,0,0,-31
1,25.0,11,15,0,22.0,5,2,17,-25
0,15.0,10,23,0,22.0,2,0,0,-34
0,-8.0,16,16,1,-45.0,6,1,5,-68
0,-37.0,8,20,0,-12.0,6,0,0,-83
0,-12.0,13,14,0,-35.0,5,1,5,-56
0,-13.0,27,27,1,-21.0,12,4,38,-63
0,-1.0,12,20,0,18.0,5,1,5,-46
1,50.0,13,14,0,-46.0,2,1,9,0
1,48.0,16,16,1,-2.0,2,0,0,-19
0,-53.0,14,17,0,11.0,6,0,0,-100
0,-24.0,13,18,0,-37.0,7,0,0,-75
1,29.0,15,16,0,9.0,3,1,9,-22
1,30.0,13,13,1,-63.0,2,0,0,-32
0,-10.0,15,20,0,4.0,5,1,6,-55
1,23.0,18,20,0,52.0,2,0,0,-31
0,30.0,14,22,0,-2.0,4,2,13,-18
1,25.0,9,16,0,-60.0,2,0,0,-31
1,24.0,14,14,1,-74.0,4,1,9,-40
1,26.0,27,27,1,-11.0,5,1,11,-34
0,-41.0,13,29,0,-9.0,9,2,13,-87
1,78.0,17,17,1,-25.0,4,3,28,20
1,47.0,16,16,1,29.0,2,0,0,-17
0,-4.0,17,17,1,-56.0,4,0,0,-64
1,31.0,26,26,1,-15.0,2,0,0,-28
0,-20.0,11,15,0,-17.0,8,2,15,-66
1,21.0,12,15,0,20.0,3,0,0,-34
0,35.0,22,22,1,-26.0,2,0,0,-29
1,43.0,26,26,1,43.0,2,1,8,-14
1,74.0,17,18,0,99.0,4,3,31,22
1,56.0,16,16,1,-30.0,5,3,27,-3
1,24.0,18,19,0,-41.0,2,0,0,-25
1,21.0,12,24,0,-50.0,4,1,8,-31
1,13.0,20,20,1,-23.0,9,3,20,-49
1,77.0,23,23,1,-31.0,2,2,17,17
1,25.0,15,17,0,-64.0,2,0,0,-25
1,21.0,9,18,0,-39.0,2,0,0,-28
0,23.0,8,22,0,-60.0,2,0,0,-26
1,20.0,13,14,0,-49.0,2,0,0,-28
1,52.0,12,13,0,-62.0,2,1,9,1
0,-53.0,11,22,0,-38.0,10,1,9,-103
0,7.0,12,19,0,-26.0,4,1,5,-40
