PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
0,44,28.0,13,18,0,-32.0,187,2,0,0,-24
1,42,27.0,10,14,0,-26.0,174,2,0,0,-23
0,45,-32.0,13,15,0,-46.0,190,6,0,0,-78
0,48,-27.0,17,17,1,-57.0,191,6,0,0,-81
0,48,-9.0,13,17,0,-41.0,189,5,1,9,-56
0,49,-5.0,14,19,0,6.0,203,6,1,6,-54
0,43,-24.0,10,12,0,-13.0,198,6,1,6,-64
0,51,-16.0,10,17,0,-73.0,194,7,1,4,-64
0,50,-17.0,20,20,1,18.0,213,9,2,19,-72
1,46,35.0,16,16,1,-8.0,193,2,0,0,-25
0,48,-36.0,14,24,0,-38.0,202,11,2,21,-78
1,43,65.0,15,18,0,66.0,199,3,2,23,10
0,50,4.0,14,21,0,-95.0,197,5,1,5,-40
0,47,-1.0,13,15,0,-1.0,204,6,1,8,-51
0,47,-80.0,10,20,0,-69.0,184,11,1,5,-124
1,51,29.0,13,14,0,-36.0,199,6,3,19,-22
0,54,25.0,20,23,0,-28.0,205,2,0,0,-23
1,47,15.0,17,22,0,-18.0,196,6,2,15,-34
0,46,-15.0,12,18,0,3.0,200,7,2,9,-55
0,45,-40.0,12,28,0,-34.0,186,8,1,6,-80
0,47,-15.0,17,22,0,1.0,191,4,0,0,-56
1,45,28.0,14,18,0,-77.0,185,2,0,0,-25
0,50,-39.0,13,23,0,-60.0,197,8,1,5,-82
0,45,-55.0,14,19,0,-40.0,186,13,3,21,-93
1,44,42.0,14,14,1,53.0,205,2,0,0,-23
0,46,-13.0,12,16,0,-28.0,188,7,2,15,-55
0,47,6.0,14,24,0,44.0,197,8,3,28,-37
1,45,26.0,11,17,0,-51.0,192,2,0,0,-25
0,51,2.0,10,26,0,-41.0,204,4,0,0,-45
0,46,-67.0,12,26,0,-59.0,186,10,1,5,-105
1,46,17.0,19,19,1,-48.0,200,5,1,6,-47
1,51,14.0,15,25,0,-62.0,195,4,1,5,-36
0,47,13.0,14,16,0,-55.0,192,3,0,0,-36
0,44,10.0,14,21,0,-77.0,189,8,3,25,-31
0,50,-89.0,13,20,0,-41.0,192,12,2,11,-127
0,46,-44.0,13,25,0,-38.0,193,11,2,13,-86
0,50,-77.0,9,23,0,-56.0,212,10,0,0,-122
0,47,-11.0,10,22,0,-40.0,193,7,2,9,-51
0,47,-4.0,11,20,0,-60.0,195,10,3,27,-46
0,48,-66.0,15,15,1,-23.0,203,9,1,6,-118
0,49,-46.0,12,25,0,-57.0,197,10,1,8,-93
0,43,-46.0,10,20,0,-58.0,179,8,1,6,-84
0,45,-18.0,21,21,1,-16.0,186,8,2,15,-71
0,50,3.0,19,19,1,-18.0,201,7,1,11,-48
1,46,24.0,14,16,0,-41.0,182,2,0,0,-25
1,50,35.0,25,25,1,-77.0,190,7,3,24,-23
0,46,-35.0,10,17,0,-60.0,200,8,1,5,-81
0,48,-65.0,10,21,0,-61.0,191,8,0,0,-109
0,47,-28.0,14,21,0,-66.0,199,5,0,0,-76
0,45,8.0,12,21,0,-76.0,185,5,1,8,-34
0,46,-58.0,13,20,0,-35.0,186,9,1,8,-98
1,48,32.0,11,18,0,-40.0,195,5,2,14,-21
0,46,-19.0,17,17,1,-12.0,197,12,3,27,-76
0,47,-25.0,15,15,1,-27.0,207,7,1,5,-84
1,46,37.0,15,15,1,-77.0,191,4,1,8,-25
1,47,10.0,11,24,0,-22.0,196,5,1,5,-39
1,47,11.0,14,16,0,-35.0,210,3,0,0,-36
0,48,-11.0,14,26,0,5.0,193,5,1,5,-54
0,45,29.0,15,15,1,-62.0,190,2,0,0,-25
0,48,-31.0,21,21,1,-28.0,208,7,0,0,-88
0,49,17.0,12,20,0,-4.0,210,3,0,0,-36
0,47,-36.0,12,16,0,-52.0,198,9,1,8,-84
0,50,-3.0,14,15,0,-74.0,205,7,2,15,-57
0,47,-7.0,16,18,0,-86.0,190,8,2,14,-51
0,45,-22.0,18,18,1,-16.0,196,6,0,0,-80
1,47,64.0,20,20,1,28.0,212,6,3,31,2
1,47,63.0,20,20,1,-19.0,192,7,4,34,4
0,45,-10.0,19,20,0,-36.0,185,6,1,8,-55
0,50,-51.0,18,18,1,-50.0,201,7,0,0,-105
1,48,34.0,14,16,0,-43.0,194,3,1,8,-16
0,44,-3.0,13,15,0,-52.0,190,5,1,5,-51
0,47,-44.0,12,17,0,-17.0,196,11,3,21,-82
0,47,-37.0,12,31,0,-7.0,195,9,2,15,-81
0,48,-49.0,13,22,0,-46.0,201,9,1,4,-94
0,47,-29.0,15,16,0,-68.0,186,7,1,9,-75
0,48,-9.0,15,16,0,-36.0,194,6,1,8,-53
0,46,-77.0,15,25,0,-64.0,188,11,1,6,-119
1,50,21.0,20,28,0,-46.0,195,2,0,0,-30
0,45,-39.0,11,27,0,-76.0,181,10,2,15,-80
0,51,-8.0,12,21,0,-14.0,201,8,2,15,-52
0,45,-50.0,11,28,0,-19.0,187,9,1,9,-92
0,48,-28.0,11,19,0,-42.0,194,6,0,0,-72
0,44,-66.0,12,17,0,-39.0,177,15,4,28,-102
0,47,10.0,17,26,0,-26.0,198,4,1,8,-40
0,46,-25.0,9,24,0,-88.0,185,7,1,5,-63
1,49,18.0,22,27,0,-27.0,197,7,2,22,-31
0,49,-52.0,16,22,0,3.0,198,9,1,6,-92
1,47,33.0,18,18,1,7.0,193,5,2,16,-30
1,43,31.0,14,14,1,-40.0,179,2,0,0,-30
0,48,-164.0,12,30,0,-52.0,218,19,2,15,-200
0,47,-43.0,18,21,0,28.0,197,13,4,32,-88
0,49,26.0,15,20,0,11.0,201,3,1,8,-25
0,49,-47.0,9,20,0,-45.0,200,9,1,8,-96
0,48,-51.0,12,25,0,14.0,194,8,1,5,-98
0,48,-18.0,15,22,0,-66.0,190,5,0,0,-65
0,44,-53.0,12,13,0,-55.0,186,7,1,6,-99
0,48,-5.0,16,21,0,-23.0,192,10,3,26,-49
0,53,-13.0,13,18,0,14.0,214,5,1,6,-63
0,49,-120.0,8,22,0,-70.0,184,16,2,10,-154
0,46,-6.0,17,17,1,-51.0,192,7,2,12,-62
0,44,-15.0,11,14,0,-29.0,176,6,1,8,-53
0,51,-72.0,13,16,0,-71.0,202,12,1,5,-117
0,47,4.0,18,18,1,31.0,188,6,2,16,-45
1,50,21.0,13,18,0,-57.0,204,2,0,0,-30
0,45,-73.0,18,18,1,-94.0,185,10,0,0,-125
1,47,45.0,18,20,0,2.0,205,4,2,13,-8
0,50,18.0,15,18,0,-50.0,205,4,1,8,-32
0,48,-1.0,17,20,0,-21.0,200,9,3,22,-43
0,51,-19.0,12,17,0,-26.0,210,7,2,17,-62
0,43,-5.0,13,17,0,-39.0,187,5,1,9,-47
1,46,30.0,12,16,0,-45.0,191,2,0,0,-21
0,46,-90.0,14,16,0,-20.0,199,10,1,5,-132
0,48,2.0,15,21,0,-25.0,192,4,1,9,-43
0,46,-24.0,9,23,0,-127.0,184,4,0,0,-65
0,49,19.0,12,21,0,-28.0,193,6,3,20,-23
0,46,28.0,13,15,0,83.0,217,3,1,9,-13
1,48,20.0,9,27,0,-32.0,196,4,1,8,-29
0,45,28.0,16,19,0,-87.0,188,4,2,13,-17
1,47,11.0,9,20,0,-15.0,193,3,0,0,-42
0,47,3.0,13,20,0,-38.0,212,3,0,0,-43
0,48,-12.0,12,21,0,122.0,243,6,1,7,-61
0,47,2.0,27,27,1,-41.0,202,8,2,21,-52
1,47,34.0,9,25,0,-21.0,195,5,2,14,-19
0,45,-14.0,14,19,0,53.0,197,5,1,9,-56
1,45,32.0,13,21,0,-13.0,185,3,1,12,-18
0,48,-47.0,17,24,0,-18.0,207,8,1,11,-94
0,49,-54.0,8,23,0,-55.0,198,9,1,5,-100
0,50,-33.0,13,19,0,-1.0,203,8,2,9,-80
1,48,8.0,18,18,1,-98.0,187,5,1,4,-50
0,46,22.0,16,16,1,-9.0,198,7,3,22,-31
0,51,-51.0,11,14,0,-73.0,213,6,0,0,-100
0,47,-55.0,15,19,0,-33.0,192,9,1,9,-98
0,47,-9.0,15,15,1,-74.0,207,8,2,14,-61
0,46,-38.0,21,21,1,-59.0,192,8,2,15,-88
0,50,-12.0,21,22,0,-49.0,205,8,2,15,-58
0,48,-73.0,10,13,0,-36.0,191,13,2,15,-112
0,47,-6.0,12,30,0,-23.0,193,5,1,5,-55
0,45,-20.0,10,17,0,-24.0,190,6,1,6,-60
0,47,6.0,10,28,0,-39.0,188,4,1,5,-38
1,48,17.0,10,15,0,-43.0,199,2,0,0,-32
0,45,-90.0,15,26,0,-36.0,218,10,0,0,-135
1,48,27.0,14,19,0,-33.0,199,4,1,4,-25
1,49,14.0,13,21,0,-21.0,196,6,2,13,-37
1,47,23.0,12,24,0,26.0,186,2,0,0,-30
0,46,-22.0,16,17,0,-77.0,184,7,2,19,-68
1,46,30.0,14,17,0,-35.0,192,2,0,0,-21
0,50,-22.0,15,23,0,-2.0,195,10,3,19,-64
1,48,31.0,17,22,0,-2.0,216,4,2,13,-17
0,44,7.0,22,22,1,-72.0,191,5,1,5,-50
0,48,-59.0,11,26,0,-52.0,191,14,3,25,-109
1,45,34.0,8,14,0,-51.0,193,4,1,5,-21
0,48,-72.0,12,25,0,-36.0,187,10,1,6,-116
0,51,39.0,13,20,0,-7.0,214,2,1,9,-13
0,52,3.0,11,33,0,-19.0,201,6,1,8,-45
0,47,-22.0,19,19,1,-45.0,198,8,1,6,-74
0,48,-33.0,14,15,0,-42.0,192,6,1,5,-77
0,54,-22.0,9,27,0,-51.0,202,8,2,11,-72
0,53,-32.0,23,31,0,-21.0,202,10,3,20,-79
0,46,1.0,22,22,1,-13.0,195,14,5,46,-55
0,47,-39.0,11,23,0,-29.0,189,7,1,6,-80
0,50,5.0,10,20,0,-36.0,203,4,1,5,-48
1,44,30.0,23,23,1,-23.0,186,2,0,0,-34
0,50,-3.0,19,30,0,1.0,197,6,2,15,-48
1,53,12.0,14,18,0,-48.0,205,7,2,12,-38
1,48,31.0,20,21,0,-58.0,194,2,0,0,-19
0,46,-52.0,12,17,0,-46.0,199,11,2,13,-96
1,50,76.0,19,19,1,35.0,225,4,3,22,13
1,51,38.0,12,19,0,-41.0,201,5,2,19,-14
0,45,-10.0,11,13,0,-31.0,192,7,2,13,-52
0,46,21.0,14,23,0,-54.0,183,7,3,19,-20
0,47,-57.0,12,12,1,-54.0,198,9,1,9,-105
1,46,37.0,15,22,0,-43.0,200,3,1,6,-12
0,50,-36.0,10,32,0,12.0,199,10,3,15,-78
1,47,25.0,12,20,0,-30.0,193,2,0,0,-29
