PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
1,46,50.0,13,21,0,135.0,205,2,1,11,-2
0,46,24.0,13,21,0,158.0,212,2,0,0,-25
1,48,77.0,17,19,0,156.0,225,2,2,23,23
0,44,18.0,17,23,0,118.0,210,2,0,0,-24
1,46,33.0,11,17,0,111.0,203,2,0,0,-23
1,45,37.0,17,17,1,80.0,205,2,0,0,-23
0,49,42.0,20,20,1,122.0,230,2,0,0,-23
0,48,25.0,11,29,0,142.0,217,2,0,0,-23
0,47,43.0,24,24,1,131.0,207,2,0,0,-23
0,46,37.0,29,29,1,111.0,220,2,0,0,-23
1,45,76.0,15,17,0,157.0,226,2,2,23,23
0,44,21.0,10,26,0,113.0,205,2,0,0,-23
0,47,71.0,15,20,0,191.0,243,2,2,23,23
0,45,28.0,14,23,0,114.0,206,2,0,0,-23
0,47,26.0,9,13,0,119.0,227,2,0,0,-23
0,44,23.0,13,17,0,104.0,196,2,0,0,-23
1,44,35.0,10,15,0,118.0,210,2,0,0,-23
1,44,40.0,20,20,1,94.0,186,2,0,0,-23
0,50,15.0,13,29,0,143.0,229,3,0,0,-35
0,48,36.0,23,23,1,117.0,220,2,0,0,-23
0,44,19.0,13,20,0,108.0,200,2,0,0,-23
0,46,19.0,20,23,0,124.0,210,2,0,0,-24
0,49,-14.0,14,16,0,111.0,225,4,0,0,-63
1,46,54.0,12,13,0,137.0,206,2,1,12,1
0,50,15.0,15,29,0,151.0,237,3,0,0,-34
0,46,32.0,16,16,1,112.0,204,2,0,0,-24
0,44,22.0,10,23,0,164.0,221,2,0,0,-23
0,45,24.0,13,17,0,119.0,211,2,0,0,-23
