PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
0,49,23.0,17,27,0,-27.0,204,4,1,8,-33
0,46,-44.0,8,16,0,-15.0,196,6,0,0,-86
0,48,4.0,15,23,0,-17.0,195,6,2,14,-42
0,45,-27.0,20,20,1,-58.0,188,10,2,16,-77
0,48,-4.0,10,25,0,-26.0,198,5,0,0,-58
1,52,27.0,13,19,0,-12.0,201,2,0,0,-25
0,45,-52.0,9,19,0,-59.0,183,7,0,0,-96
0,50,-25.0,21,28,0,-13.0,197,8,2,15,-69
0,46,21.0,13,20,0,-6.0,190,2,0,0,-25
1,45,60.0,12,15,0,-39.0,198,3,2,23,10
0,47,26.0,17,17,1,-69.0,194,3,0,0,-36
0,47,-42.0,13,23,0,12.0,192,9,1,4,-86
0,46,10.0,13,23,0,-13.0,193,4,1,9,-36
0,48,-25.0,12,14,0,-18.0,203,11,3,23,-65
0,49,-40.0,22,22,1,-34.0,201,15,4,33,-95
0,50,1.0,25,27,0,50.0,217,10,4,33,-53
0,47,-50.0,13,16,0,-45.0,205,12,2,14,-93
0,48,2.0,15,27,0,-60.0,201,5,1,5,-47
0,47,22.0,9,17,0,60.0,211,2,0,0,-24
0,47,28.0,19,20,0,-24.0,190,2,0,0,-23
0,45,-42.0,12,15,0,-45.0,203,8,1,4,-88
0,45,-23.0,13,16,0,-101.0,185,6,0,0,-67
1,45,27.0,12,20,0,-20.0,189,2,0,0,-25
1,46,49.0,17,17,1,-22.0,188,4,2,14,-11
1,44,36.0,18,18,1,-35.0,192,2,0,0,-25
0,50,-25.0,15,24,0,0.0,203,5,0,0,-77
0,46,5.0,13,15,0,-40.0,190,5,1,6,-41
1,49,12.0,12,26,0,-74.0,201,3,0,0,-40
0,49,-34.0,18,29,0,-17.0,200,7,1,10,-81
0,47,7.0,10,15,0,-11.0,205,6,2,14,-37
1,52,29.0,17,18,0,12.0,206,7,3,24,-27
0,47,14.0,11,20,0,13.0,206,7,2,17,-36
1,48,45.0,26,26,1,2.0,205,5,2,18,-18
0,47,-51.0,11,21,0,-64.0,185,8,1,8,-94
1,46,36.0,26,26,1,-32.0,189,2,0,0,-25
