PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
0,44,22.0,11,17,0,-19.0,190,2,0,0,-25
1,45,51.0,15,18,0,5.0,180,2,1,11,-2
1,46,36.0,15,15,1,-15.0,208,4,1,5,-26
1,45,18.0,13,13,1,-50.0,184,5,1,8,-43
1,47,43.0,15,15,1,-25.0,205,5,2,11,-21
0,47,-56.0,13,23,0,-44.0,189,9,1,9,-98
0,48,-11.0,11,22,0,-51.0,190,7,2,10,-53
0,44,11.0,10,17,0,-56.0,187,3,0,0,-36
0,48,-3.0,14,16,0,-81.0,203,7,2,15,-51
0,44,11.0,13,19,0,13.0,196,4,1,5,-39
1,51,23.0,23,23,1,-14.0,201,11,5,42,-40
0,49,-45.0,9,23,0,-54.0,197,11,2,14,-95
0,46,-7.0,13,17,0,-76.0,192,4,0,0,-51
1,48,33.0,17,20,0,-19.0,198,4,2,9,-16
1,52,40.0,16,21,0,-27.0,202,9,4,38,-13
1,46,31.0,13,21,0,-1.0,192,2,0,0,-25
1,52,58.0,18,18,1,-40.0,206,6,3,28,-6
0,48,-8.0,11,16,0,-85.0,193,5,1,5,-54
1,46,36.0,16,19,0,-28.0,187,4,2,13,-12
1,47,45.0,12,14,0,-34.0,194,4,2,20,-7
1,45,28.0,15,20,0,-47.0,190,2,0,0,-23
0,45,25.0,12,17,0,-48.0,195,5,2,13,-20
0,46,-73.0,12,21,0,-42.0,190,14,4,28,-114
1,51,15.0,17,22,0,-44.0,206,6,2,15,-38
1,49,64.0,12,22,0,46.0,213,7,5,37,12
1,48,11.0,16,21,0,-52.0,195,2,0,0,-42
0,50,8.0,19,22,0,-51.0,198,4,1,5,-38
0,46,12.0,10,18,0,-49.0,192,2,0,0,-31
1,43,33.0,8,15,0,-61.0,181,2,0,0,-21
1,47,32.0,23,23,1,27.0,200,4,1,8,-30
0,47,-39.0,11,21,0,-30.0,206,7,0,0,-90
0,49,22.0,15,19,0,-12.0,196,4,1,9,-25
0,44,25.0,15,15,1,31.0,192,2,0,0,-32
0,42,0.0,17,18,0,52.0,194,3,0,0,-42
1,46,36.0,13,23,0,-52.0,182,3,1,10,-13
0,45,-77.0,10,20,0,-46.0,184,11,2,15,-117
1,42,22.0,10,17,0,-72.0,178,2,0,0,-31
0,48,-36.0,17,23,0,-1.0,199,7,1,6,-81
0,50,-20.0,20,28,0,-37.0,200,6,1,9,-71
0,47,14.0,11,26,0,13.0,196,2,0,0,-32
1,48,9.0,12,15,0,-72.0,194,6,2,15,-43
0,48,-24.0,15,27,0,-62.0,193,8,1,8,-73
0,47,14.0,15,15,1,-18.0,206,4,1,5,-38
0,44,9.0,19,21,0,-8.0,193,4,1,8,-39
0,50,8.0,10,31,0,24.0,203,3,0,0,-41
1,45,40.0,18,18,1,-27.0,186,3,1,9,-21
1,45,34.0,19,19,1,-13.0,188,2,0,0,-30
0,47,-26.0,12,14,0,-11.0,195,6,1,6,-72
0,51,-3.0,13,21,0,-4.0,209,6,1,4,-51
0,44,11.0,18,18,1,47.0,189,3,0,0,-41
0,47,1.0,12,19,0,-21.0,198,3,0,0,-44
0,47,4.0,16,18,0,-9.0,199,4,1,6,-45
0,51,-42.0,13,15,0,-18.0,197,6,0,0,-86
0,48,4.0,13,17,0,-37.0,197,2,0,0,-42
1,46,76.0,20,20,1,-43.0,205,4,3,23,14
1,51,15.0,22,26,0,-19.0,211,8,3,22,-40
1,49,26.0,10,28,0,-5.0,200,3,1,5,-26
1,49,31.0,16,22,0,-42.0,203,2,0,0,-18
1,45,41.0,11,22,0,-4.0,186,4,2,14,-10
0,46,-13.0,19,24,0,10.0,192,7,2,19,-58
0,48,5.0,10,14,0,-32.0,209,3,0,0,-40
0,47,-21.0,13,14,0,-81.0,194,4,0,0,-65
0,47,-9.0,10,22,0,-63.0,182,6,1,4,-53
0,47,10.0,14,20,0,27.0,202,7,3,26,-35
0,54,2.0,15,18,0,-32.0,211,6,1,13,-49
0,43,7.0,11,19,0,-68.0,178,3,0,0,-40
1,47,38.0,19,19,1,-64.0,197,3,1,8,-23
1,46,40.0,21,21,1,-53.0,190,3,1,9,-22
0,53,-27.0,10,22,0,-58.0,197,5,0,0,-73
0,50,-41.0,14,18,0,-32.0,201,8,2,14,-85
1,47,56.0,19,19,1,-4.0,193,4,2,17,-3
0,51,10.0,21,26,0,-51.0,200,5,1,7,-35
1,49,56.0,17,17,1,0.0,206,5,3,28,-3
0,46,3.0,12,19,0,38.0,205,3,0,0,-51
1,46,30.0,11,22,0,-34.0,193,5,2,17,-24
1,47,25.0,15,22,0,-30.0,199,6,2,13,-26
0,48,-34.0,11,27,0,-38.0,203,9,2,13,-78
1,47,18.0,17,17,1,-61.0,193,3,0,0,-45
0,46,16.0,18,18,1,-86.0,195,4,1,8,-40
0,48,-6.0,18,23,0,1.0,202,5,1,9,-50
1,45,31.0,20,20,1,4.0,199,3,0,0,-34
1,48,57.0,18,20,0,-25.0,200,6,4,31,6
1,45,32.0,13,14,0,-39.0,188,4,2,17,-19
0,45,-14.0,9,20,0,-35.0,189,5,1,5,-56
1,44,45.0,11,13,0,-57.0,197,4,2,13,-7
0,58,-27.0,9,23,0,-34.0,203,8,1,5,-82
0,50,-40.0,15,17,0,-37.0,196,11,4,28,-86
0,44,6.0,14,14,1,-33.0,186,4,1,9,-49
0,48,-46.0,19,24,0,-39.0,205,12,3,19,-89
0,51,-24.0,13,15,0,-64.0,207,10,3,21,-71
0,56,-29.0,20,25,0,-29.0,212,6,0,0,-76
1,45,40.0,20,20,1,-20.0,189,5,3,22,-20
0,49,9.0,13,14,0,-63.0,204,7,2,17,-42
0,49,-28.0,12,21,0,-8.0,195,10,2,12,-75
1,48,20.0,11,13,0,-38.0,206,5,2,14,-33
1,46,31.0,15,25,0,-64.0,189,6,3,23,-20
0,49,-30.0,12,16,0,-55.0,199,6,0,0,-80
0,50,-23.0,17,24,0,3.0,201,10,3,24,-70
