PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
1,45,51.0,15,20,0,138.0,206,2,1,12,-1
0,45,43.0,19,19,1,140.0,215,2,0,0,-23
0,47,39.0,14,14,1,158.0,233,2,0,0,-23
1,44,41.0,23,23,1,95.0,187,2,0,0,-23
1,47,85.0,20,20,1,176.0,250,2,2,23,23
0,47,32.0,11,21,0,127.0,219,2,0,0,-24
1,46,54.0,12,17,0,138.0,207,2,1,12,1
0,44,27.0,9,25,0,117.0,209,2,0,0,-23
0,45,25.0,8,14,0,129.0,204,2,0,0,-24
1,45,52.0,14,22,0,125.0,194,2,1,12,1
0,47,27.0,16,16,1,136.0,211,2,0,0,-23
1,46,38.0,22,22,1,104.0,207,2,0,0,-23
0,45,28.0,14,23,0,109.0,201,2,0,0,-23
0,45,36.0,15,26,0,130.0,222,2,0,0,-23
0,45,28.0,17,24,0,117.0,209,2,0,0,-23
0,45,17.0,15,23,0,136.0,211,2,0,0,-23
0,46,33.0,17,17,1,122.0,208,2,0,0,-23
1,45,53.0,13,20,0,130.0,199,2,1,12,1
0,44,25.0,12,24,0,139.0,214,2,0,0,-23
1,43,31.0,15,20,0,107.0,199,2,0,0,-23
0,45,-14.0,14,23,0,109.0,228,6,1,6,-67
1,43,58.0,12,17,0,126.0,195,2,1,12,1
0,46,21.0,10,22,0,149.0,224,2,0,0,-23
0,49,-19.0,10,17,0,70.0,201,5,0,0,-62
1,44,76.0,13,26,0,151.0,220,2,2,23,23
0,47,23.0,17,22,0,126.0,218,2,0,0,-23
0,45,18.0,9,15,0,103.0,195,2,0,0,-23
1,44,39.0,24,24,1,97.0,189,2,0,0,-23
0,43,29.0,20,20,1,107.0,199,2,0,0,-24
0,45,30.0,16,24,0,126.0,218,2,0,0,-24
0,47,24.0,16,22,0,110.0,202,2,0,0,-24
0,43,16.0,10,21,0,105.0,197,2,0,0,-24
0,45,25.0,12,17,0,113.0,205,2,0,0,-23
0,46,49.0,25,25,1,156.0,231,2,0,0,-24
1,44,67.0,23,23,1,187.0,216,2,1,13,2
0,45,-19.0,9,18,0,63.0,199,4,0,0,-62
0,46,44.0,12,19,0,162.0,214,2,1,12,1
0,43,21.0,8,27,0,100.0,192,2,0,0,-23
0,46,31.0,9,27,0,112.0,204,2,0,0,-23
1,45,67.0,17,17,1,97.0,199,2,1,12,1
1,46,83.0,16,16,1,132.0,234,2,2,23,23
0,46,7.0,15,16,0,99.0,213,3,0,0,-46
0,47,34.0,24,24,1,137.0,212,2,0,0,-24
0,47,21.0,9,28,0,148.0,223,2,0,0,-25
0,49,-13.0,19,21,0,91.0,226,5,0,0,-60
1,47,87.0,19,19,1,176.0,245,2,2,23,23
0,46,25.0,14,21,0,93.0,207,2,0,0,-23
0,44,45.0,12,19,0,129.0,199,2,1,11,-2
1,45,85.0,14,14,1,166.0,218,2,2,23,23
0,48,29.0,15,16,0,143.0,218,2,0,0,-23
