PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
1,46,30.0,13,14,0,20.0,200,4,1,9,-24
0,45,23.0,14,18,0,40.0,209,3,0,0,-34
1,49,33.0,13,17,0,-16.0,193,3,1,5,-20
1,50,22.0,12,18,0,-61.0,195,4,1,5,-31
1,43,49.0,25,25,1,-24.0,184,4,2,17,-16
1,44,26.0,12,13,0,19.0,176,2,0,0,-23
1,45,28.0,15,17,0,-35.0,190,5,2,15,-21
1,45,40.0,20,20,1,-16.0,193,3,1,6,-18
0,46,20.0,13,21,0,-37.0,204,3,0,0,-36
1,42,30.0,10,22,0,-42.0,185,2,0,0,-25
1,44,32.0,18,19,0,-33.0,191,5,2,13,-20
1,43,32.0,10,13,0,-31.0,196,2,0,0,-23
1,46,63.0,16,17,0,0.0,206,6,4,34,9
1,47,29.0,12,13,0,3.0,200,3,1,4,-21
1,42,21.0,9,11,0,-82.0,176,3,0,0,-36
1,48,36.0,19,19,1,1.0,208,4,1,5,-28
0,45,0.0,10,14,0,-19.0,189,6,1,5,-53
1,45,33.0,15,15,1,57.0,193,2,0,0,-25
1,42,25.0,20,20,1,-64.0,176,5,1,6,-42
1,45,24.0,16,16,1,-13.0,186,3,0,0,-36
0,48,-1.0,14,14,1,2.0,221,5,1,5,-56
0,49,-23.0,13,17,0,-46.0,197,6,0,0,-71
0,49,4.0,18,26,0,12.0,207,6,2,13,-47
0,45,-46.0,9,17,0,-58.0,187,13,3,21,-91
0,48,14.0,9,32,0,-24.0,199,3,0,0,-36
0,44,17.0,19,20,0,47.0,197,4,1,6,-30
1,45,37.0,22,22,1,19.0,199,2,0,0,-23
1,44,41.0,17,17,1,36.0,191,2,0,0,-23
1,46,25.0,13,18,0,-23.0,190,2,0,0,-24
1,46,32.0,15,16,0,-88.0,184,5,2,13,-18
1,46,35.0,14,14,1,47.0,200,2,0,0,-25
1,44,15.0,9,14,0,-48.0,178,3,0,0,-36
0,45,16.0,10,21,0,10.0,200,3,0,0,-32
0,45,29.0,21,21,1,95.0,213,3,0,0,-36
0,48,-86.0,12,20,0,7.0,203,12,1,5,-135
1,45,23.0,14,14,1,-4.0,204,6,2,13,-40
1,45,31.0,11,16,0,-39.0,184,3,1,6,-19
1,43,32.0,10,12,0,-39.0,183,3,1,5,-19
1,43,25.0,11,23,0,33.0,180,2,0,0,-25
0,48,-54.0,19,21,0,-20.0,207,13,2,16,-103
0,45,12.0,17,17,1,-8.0,199,8,3,17,-50
1,48,63.0,23,23,1,1.0,196,9,5,46,-2
1,44,41.0,12,20,0,31.0,184,3,1,12,-12
1,42,33.0,13,14,0,37.0,195,2,0,0,-24
1,46,18.0,21,21,1,-78.0,185,7,2,17,-44
0,42,18.0,11,16,0,-14.0,188,3,0,0,-36
1,45,28.0,13,23,0,-43.0,185,2,0,0,-24
1,45,30.0,15,18,0,-19.0,179,3,1,6,-18
1,43,27.0,12,14,0,-61.0,184,2,0,0,-25
0,51,-26.0,12,25,0,-31.0,202,13,4,32,-78
0,44,12.0,15,18,0,29.0,186,3,0,0,-36
1,42,52.0,19,19,1,-3.0,187,3,1,12,-12
1,44,54.0,21,21,1,-43.0,182,7,3,29,-14
