PLAYER_WON,ROUNDS,PLAYER_SCORE,PLAYER_LONGEST_ROUTE_LENGTH,LONGEST_ROUTE_IN_GAME,PLAYER_HAD_LONGEST_ROUTE,TOTAL_POINTS_IN_GAME,TOTAL_GAINED_POINTS_IN_GAME,PLAYER_ROUTE_CARDS,PLAYER_COMPLETED_ROUTE_CARDS,PLAYER_GAINED_POINTS_FROM_ROUTE_CARDS,PLAYER_POINTS_FROM_ROUTE_CARDS
1,46,55.0,12,18,0,139.0,208,2,1,12,1
0,45,36.0,24,24,1,166.0,223,2,0,0,-23
1,45,56.0,19,19,1,147.0,200,2,1,11,-2
0,49,26.0,13,20,0,125.0,228,2,0,0,-23
0,44,24.0,14,20,0,170.0,223,2,0,0,-24
0,45,35.0,25,25,1,141.0,216,2,0,0,-23
1,44,38.0,20,20,1,106.0,198,2,0,0,-25
0,45,27.0,13,17,0,145.0,220,2,0,0,-23
1,47,87.0,23,23,1,192.0,244,2,2,23,23
1,45,39.0,20,20,1,103.0,195,2,0,0,-23
0,45,20.0,18,23,0,169.0,222,2,0,0,-24
1,47,38.0,21,21,1,123.0,215,2,0,0,-24
0,45,24.0,9,27,0,141.0,227,2,0,0,-23
0,46,-17.0,20,25,0,88.0,210,5,0,0,-69
0,44,28.0,8,15,0,124.0,216,2,0,0,-23
0,48,48.0,17,27,0,112.0,215,2,1,11,-2
1,45,39.0,13,23,0,103.0,206,2,0,0,-24
0,45,37.0,24,24,1,82.0,213,2,0,0,-24
0,45,27.0,14,15,0,132.0,207,2,0,0,-23
0,45,28.0,10,17,0,143.0,218,2,0,0,-23
0,45,43.0,17,17,1,143.0,229,2,0,0,-25
0,42,27.0,18,18,1,115.0,190,2,0,0,-23
1,43,65.0,15,15,1,142.0,194,2,1,12,1
1,44,39.0,22,22,1,115.0,207,2,0,0,-25
0,45,37.0,26,26,1,92.0,206,2,0,0,-23
0,46,17.0,11,21,0,129.0,204,2,0,0,-23
0,43,26.0,19,21,0,116.0,208,2,0,0,-23
0,45,24.0,11,18,0,112.0,204,2,0,0,-23
0,46,33.0,21,21,1,146.0,221,2,0,0,-23
1,45,40.0,23,23,1,80.0,205,2,0,0,-22
0,44,26.0,12,18,0,112.0,204,2,0,0,-23
0,45,36.0,24,24,1,138.0,207,2,0,0,-23
1,44,67.0,17,17,1,102.0,217,2,1,12,2
0,42,26.0,24,24,1,97.0,189,2,0,0,-23
0,46,35.0,12,16,0,127.0,219,2,0,0,-23
0,44,21.0,8,17,0,118.0,193,2,0,0,-23
0,46,58.0,23,27,0,124.0,223,2,1,10,-3
1,45,35.0,21,21,1,115.0,207,2,0,0,-23
0,46,30.0,15,19,0,117.0,203,2,0,0,-23
0,45,38.0,20,20,1,136.0,211,2,0,0,-22
0,46,27.0,8,22,0,194.0,246,2,0,0,-23
0,44,25.0,19,21,0,180.0,234,2,0,0,-23
0,44,16.0,10,15,0,157.0,209,2,0,0,-23
0,44,28.0,13,23,0,109.0,212,2,0,0,-23
0,46,21.0,11,28,0,120.0,212,2,0,0,-23
0,45,1.0,8,20,0,88.0,197,3,0,0,-39
0,43,22.0,13,25,0,115.0,191,2,0,0,-23
0,45,39.0,22,22,1,154.0,229,2,0,0,-23
0,44,24.0,13,20,0,143.0,214,2,0,0,-23
0,51,-13.0,15,17,0,101.0,215,5,0,0,-62
0,46,15.0,12,17,0,149.0,229,2,0,0,-29
0,44,25.0,23,23,1,157.0,211,2,0,0,-31
0,46,35.0,24,24,1,132.0,207,2,0,0,-29
0,45,18.0,12,17,0,137.0,206,2,0,0,-29
0,45,-1.0,10,25,0,93.0,196,3,0,0,-40
0,47,-14.0,17,23,0,110.0,205,4,0,0,-62
0,45,19.0,13,20,0,133.0,208,2,0,0,-29
0,46,21.0,13,26,0,105.0,219,2,0,0,-29
0,47,19.0,18,24,0,164.0,217,2,0,0,-29
0,47,-12.0,15,15,1,89.0,203,5,0,0,-74
0,45,15.0,14,24,0,108.0,200,2,0,0,-29
0,47,-12.0,18,19,0,85.0,222,4,0,0,-63
0,46,-27.0,10,22,0,72.0,214,5,0,0,-85
0,46,23.0,15,18,0,139.0,216,2,0,0,-31
0,47,-1.0,17,19,0,142.0,204,3,0,0,-40
0,44,11.0,11,25,0,167.0,219,2,0,0,-29
0,45,13.0,14,19,0,122.0,197,2,0,0,-29
0,42,22.0,16,16,1,61.0,192,2,0,0,-29
0,44,3.0,10,22,0,103.0,195,2,0,0,-29
0,46,29.0,22,22,1,135.0,212,2,0,0,-31
0,45,11.0,8,15,0,146.0,223,2,0,0,-31
0,46,35.0,20,20,1,128.0,203,2,0,0,-29
0,46,32.0,25,25,1,168.0,220,2,0,0,-29
0,45,13.0,13,19,0,111.0,203,2,0,0,-29
0,46,20.0,16,19,0,110.0,202,2,0,0,-29
0,44,20.0,11,20,0,106.0,198,2,0,0,-17
1,44,80.0,27,27,1,127.0,202,2,2,17,17
1,44,55.0,14,19,0,116.0,202,2,1,9,1
1,46,35.0,9,21,0,127.0,219,2,0,0,-17
1,46,68.0,16,20,0,151.0,226,2,2,17,17
1,43,38.0,13,20,0,114.0,206,2,0,0,-17
1,43,80.0,24,24,1,186.0,238,2,2,17,17
1,44,37.0,23,23,1,102.0,194,2,0,0,-17
1,46,52.0,24,26,0,138.0,213,2,1,9,1
1,44,40.0,11,25,0,116.0,208,2,0,0,-17
0,46,28.0,13,22,0,64.0,206,2,0,0,-17
0,48,-14.0,16,17,0,101.0,220,5,0,0,-67
1,44,58.0,13,18,0,128.0,203,2,1,9,1
1,44,50.0,19,19,1,111.0,203,2,0,0,-17
1,46,49.0,13,21,0,111.0,197,2,1,9,1
1,44,78.0,15,15,1,149.0,224,2,2,17,17
1,43,58.0,13,17,0,133.0,208,2,1,9,1
1,45,53.0,12,17,0,126.0,201,2,1,9,1
1,48,69.0,13,20,0,88.0,221,2,2,17,17
1,46,77.0,25,25,1,176.0,229,2,2,17,17
1,45,75.0,15,22,0,171.0,223,2,2,17,17
1,44,55.0,14,18,0,122.0,210,2,1,9,1
0,45,34.0,10,17,0,111.0,203,2,0,0,-17
0,44,22.0,12,13,0,111.0,203,2,0,0,-17
1,48,41.0,24,24,1,72.0,220,2,0,0,-17
